     Index              y_true              y_pred        descriptor_1        descriptor_2
        65   -0.6948301999E+01   -0.6988748230E+01    0.5802259061E+01    0.1295238095E+02
        66   -0.6518686119E+01   -0.6585865608E+01    0.4641807249E+01    0.1275000000E+02
        67   -0.7998266669E+01   -0.9075423345E+01    0.1160451812E+02    0.1461904762E+02
        68   -0.7064817594E+01   -0.7797736049E+01    0.7736345414E+01    0.1453571429E+02
        69   -0.6609165537E+01   -0.7085973470E+01    0.5802259061E+01    0.1383333333E+02
        70   -0.6191707090E+01   -0.6637105937E+01    0.4641807249E+01    0.1321428571E+02
        71   -0.8498677176E+01   -0.9116152838E+01    0.1160451812E+02    0.1498809524E+02
        72   -0.7417949102E+01   -0.7829268559E+01    0.7736345414E+01    0.1482142857E+02
        73   -0.6817227608E+01   -0.7159549328E+01    0.5802259061E+01    0.1450000000E+02
        74   -0.6427985928E+01   -0.6723820341E+01    0.4641807249E+01    0.1400000000E+02
        75   -0.8859097756E+01   -0.8942724031E+01    0.1160451812E+02    0.1341666667E+02
        76   -0.7544220281E+01   -0.7613796405E+01    0.7736345414E+01    0.1286904762E+02
        77   -0.6838705916E+01   -0.6961157284E+01    0.5802259061E+01    0.1270238095E+02
        78   -0.6390182052E+01   -0.6497837350E+01    0.4641807249E+01    0.1195238095E+02
        79   -0.8114065145E+01   -0.9043890834E+01    0.1160451812E+02    0.1433333333E+02
        80   -0.7035634333E+01   -0.7714963210E+01    0.7736345414E+01    0.1378571429E+02
        81   -0.6552085430E+01   -0.7003200631E+01    0.5802259061E+01    0.1308333333E+02
        82   -0.6133278189E+01   -0.6574040916E+01    0.4641807249E+01    0.1264285714E+02
        83   -0.8373248704E+01   -0.8983453523E+01    0.1160451812E+02    0.1378571429E+02
        84   -0.7327403798E+01   -0.7659781317E+01    0.7736345414E+01    0.1328571429E+02
        85   -0.6780141083E+01   -0.6944077174E+01    0.5802259061E+01    0.1254761905E+02
        86   -0.6347637274E+01   -0.6510975896E+01    0.4641807249E+01    0.1207142857E+02
        87   -0.9669969206E+01   -0.9822097018E+01    0.1160451812E+02    0.2138461538E+02
        88   -0.8171686177E+01   -0.8447487679E+01    0.7736345414E+01    0.2042307692E+02
        89   -0.7504977923E+01   -0.7770794913E+01    0.5802259061E+01    0.2003846154E+02
        90   -0.7004644775E+01   -0.7326576403E+01    0.4641807249E+01    0.1946153846E+02
        91   -0.8788187942E+01   -0.8770609079E+01    0.1160451812E+02    0.1185714286E+02
        92   -0.7549831850E+01   -0.7431170616E+01    0.7736345414E+01    0.1121428571E+02
        93   -0.7051707523E+01   -0.6744371276E+01    0.5802259061E+01    0.1073809524E+02
        94   -0.6689903384E+01   -0.6342802508E+01    0.4641807249E+01    0.1054761905E+02
        95   -0.8882908159E+01   -0.8789003042E+01    0.1160451812E+02    0.1202380952E+02
        96   -0.7703309120E+01   -0.7507374182E+01    0.7736345414E+01    0.1190476190E+02
        97   -0.6963189662E+01   -0.6733860438E+01    0.5802259061E+01    0.1064285714E+02
        98   -0.6649709480E+01   -0.6337547089E+01    0.4641807249E+01    0.1050000000E+02
        99   -0.8870992275E+01   -0.8977541178E+01    0.1160451812E+02    0.1373214286E+02
       100   -0.7682920433E+01   -0.7606570205E+01    0.7736345414E+01    0.1280357143E+02
       101   -0.7056175708E+01   -0.6944734102E+01    0.5802259061E+01    0.1255357143E+02
       102   -0.6585778742E+01   -0.6493238859E+01    0.4641807249E+01    0.1191071429E+02
       103   -0.8498823453E+01   -0.8920651274E+01    0.1160451812E+02    0.1321666667E+02
       104   -0.7312889042E+01   -0.7530760795E+01    0.7736345414E+01    0.1211666667E+02
       105   -0.6728360334E+01   -0.6890997449E+01    0.5802259061E+01    0.1206666667E+02
       106   -0.6314703278E+01   -0.6400086568E+01    0.4641807249E+01    0.1106666667E+02
       107   -0.9832829668E+01   -0.8898578516E+01    0.1160451812E+02    0.1301666667E+02
       108   -0.7990853830E+01   -0.7624570013E+01    0.7736345414E+01    0.1296666667E+02
       109   -0.7156951524E+01   -0.6832136762E+01    0.5802259061E+01    0.1153333333E+02
       110   -0.6769534611E+01   -0.6457107857E+01    0.4641807249E+01    0.1158333333E+02
       111   -0.8796708040E+01   -0.9126295795E+01    0.1160451812E+02    0.1508000000E+02
       112   -0.7631360842E+01   -0.7816603001E+01    0.7736345414E+01    0.1470666667E+02
       113   -0.6898200274E+01   -0.7076408609E+01    0.5802259061E+01    0.1374666667E+02
       114   -0.6507269748E+01   -0.6673788758E+01    0.4641807249E+01    0.1354666667E+02
       115   -0.9209115123E+01   -0.9039476283E+01    0.1160451812E+02    0.1429333333E+02
       116   -0.7699190047E+01   -0.7691524043E+01    0.7736345414E+01    0.1357333333E+02
       117   -0.6976562632E+01   -0.7013133371E+01    0.5802259061E+01    0.1317333333E+02
       118   -0.6518026947E+01   -0.6556067386E+01    0.4641807249E+01    0.1248000000E+02
       119   -0.9185977570E+01   -0.9007102906E+01    0.1160451812E+02    0.1400000000E+02
       120   -0.7662536403E+01   -0.7703296180E+01    0.7736345414E+01    0.1368000000E+02
       121   -0.6968416208E+01   -0.7016076406E+01    0.5802259061E+01    0.1320000000E+02
