     Index              y_true              y_pred        descriptor_1
       212   -0.7328130695E+01   -0.7960979231E+01    0.7736345414E+01
       213   -0.6863905776E+01   -0.7315036240E+01    0.5802259061E+01
       214   -0.6540193235E+01   -0.6927470445E+01    0.4641807249E+01
       215   -0.9684244398E+01   -0.7960979231E+01    0.7736345414E+01
       216   -0.8023093774E+01   -0.7315036240E+01    0.5802259061E+01
       217   -0.7486205960E+01   -0.6927470445E+01    0.4641807249E+01
       218   -0.9042304539E+01   -0.9252865214E+01    0.1160451812E+02
       219   -0.8151459353E+01   -0.7960979231E+01    0.7736345414E+01
       220   -0.7147346225E+01   -0.7315036240E+01    0.5802259061E+01
       221   -0.6919992044E+01   -0.6927470445E+01    0.4641807249E+01
       222   -0.8670368847E+01   -0.7960979231E+01    0.7736345414E+01
       223   -0.7867160475E+01   -0.7315036240E+01    0.5802259061E+01
       224   -0.7311195888E+01   -0.6927470445E+01    0.4641807249E+01
       225   -0.8309664114E+01   -0.7960979231E+01    0.7736345414E+01
       226   -0.7629898202E+01   -0.7315036240E+01    0.5802259061E+01
       227   -0.7129705543E+01   -0.6927470445E+01    0.4641807249E+01
       228   -0.8975723689E+01   -0.9252865214E+01    0.1160451812E+02
       229   -0.7749549811E+01   -0.7960979231E+01    0.7736345414E+01
       230   -0.7153425793E+01   -0.7315036240E+01    0.5802259061E+01
       231   -0.6759493735E+01   -0.6927470445E+01    0.4641807249E+01
       232   -0.1055122552E+02   -0.9252865214E+01    0.1160451812E+02
       233   -0.1056159583E+02   -0.7960979231E+01    0.7736345414E+01
       234   -0.7695487023E+01   -0.7315036240E+01    0.5802259061E+01
       235   -0.7225412690E+01   -0.6927470445E+01    0.4641807249E+01
       236   -0.9171234088E+01   -0.9252865214E+01    0.1160451812E+02
       237   -0.7705159140E+01   -0.7960979231E+01    0.7736345414E+01
       238   -0.6990549343E+01   -0.7315036240E+01    0.5802259061E+01
       239   -0.6708244966E+01   -0.6927470445E+01    0.4641807249E+01
       240   -0.8916748050E+01   -0.9252865214E+01    0.1160451812E+02
       241   -0.7519883736E+01   -0.7960979231E+01    0.7736345414E+01
       242   -0.6984319527E+01   -0.7315036240E+01    0.5802259061E+01
       243   -0.6550700327E+01   -0.6927470445E+01    0.4641807249E+01
       244   -0.1023424694E+02   -0.9252865214E+01    0.1160451812E+02
       245   -0.8429125539E+01   -0.7960979231E+01    0.7736345414E+01
       246   -0.7781706129E+01   -0.7315036240E+01    0.5802259061E+01
       247   -0.7283250941E+01   -0.6927470445E+01    0.4641807249E+01
       248   -0.8625193299E+01   -0.9252865214E+01    0.1160451812E+02
       249   -0.7625517950E+01   -0.7960979231E+01    0.7736345414E+01
       250   -0.7002480550E+01   -0.7315036240E+01    0.5802259061E+01
