     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5
        20   -0.7882446078E+01   -0.8460089938E+01    0.1160451812E+02    0.1263750000E+02    0.1030000000E+02    0.3040000000E+00    0.5115593902E+00
        21   -0.6997385282E+01   -0.7157998075E+01    0.7736345414E+01    0.1170000000E+02    0.9400000000E+01    0.3040000000E+00    0.4954509095E+00
        22   -0.6447065451E+01   -0.6486962711E+01    0.5802259061E+01    0.1168750000E+02    0.9325000000E+01    0.3040000000E+00    0.4818665661E+00
        23   -0.6099512226E+01   -0.6039843957E+01    0.4641807249E+01    0.1101250000E+02    0.8875000000E+01    0.3040000000E+00    0.4588232221E+00
        24   -0.9300845116E+01   -0.8908944293E+01    0.7736345414E+01    0.1550000000E+02    0.1200000000E+01    0.1073333333E+00    0.6076909455E+00
        25   -0.8402229237E+01   -0.8016282066E+01    0.5802259061E+01    0.1430000000E+02    0.1800000000E+01    0.1073333333E+00    0.5925698996E+00
        26   -0.7647259536E+01   -0.7663155400E+01    0.4641807249E+01    0.1500000000E+02    0.1800000000E+01    0.1073333333E+00    0.5773730988E+00
        27   -0.8937083342E+01   -0.8749710279E+01    0.1160451812E+02    0.9200000000E+01    0.1000000000E+01    0.1353333333E+00    0.2386680785E+00
        28   -0.7476134100E+01   -0.7414037032E+01    0.7736345414E+01    0.8000000000E+01    0.2000000000E+00    0.1353333333E+00    0.2258317945E+00
        29   -0.6439419039E+01   -0.6755210344E+01    0.5802259061E+01    0.8000000000E+01    0.4000000000E+00    0.1353333333E+00    0.2340361904E+00
        30   -0.6044958999E+01   -0.6361923712E+01    0.4641807249E+01    0.8300000000E+01    0.6000000000E+00    0.1353333333E+00    0.2315423789E+00
        31   -0.7890577984E+01   -0.9164674646E+01    0.1160451812E+02    0.9100000000E+01    0.8000000000E+00    0.1233333333E+00    0.4120710564E+00
        32   -0.7318463659E+01   -0.7785205428E+01    0.7736345414E+01    0.8700000000E+01    0.8000000000E+00    0.1233333333E+00    0.3945937615E+00
        33   -0.6821893963E+01   -0.7081033474E+01    0.5802259061E+01    0.8600000000E+01    0.1000000000E+01    0.1233333333E+00    0.3876023198E+00
        34   -0.6394894827E+01   -0.6696725299E+01    0.4641807249E+01    0.7900000000E+01    0.4000000000E+00    0.1233333333E+00    0.3835231652E+00
        35   -0.8886107735E+01   -0.9017882144E+01    0.1160451812E+02    0.1440000000E+02    0.6700000000E+01    0.4655000000E+00    0.4257878247E+00
        36   -0.7674632534E+01   -0.7676649772E+01    0.7736345414E+01    0.1397500000E+02    0.6400000000E+01    0.4655000000E+00    0.4073407690E+00
        37   -0.7016636987E+01   -0.6948150249E+01    0.5802259061E+01    0.1390000000E+02    0.6700000000E+01    0.4655000000E+00    0.3949273047E+00
