     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
       136   -0.7061834978E+01   -0.7358994925E+01    0.7736345414E+01    0.1385000000E+02    0.8000000000E+00
       137   -0.6461672741E+01   -0.6629364898E+01    0.5802259061E+01    0.1295000000E+02    0.8000000000E+00
       138   -0.6244505041E+01   -0.6278118278E+01    0.4641807249E+01    0.1346250000E+02    0.8000000000E+00
       139   -0.8231107142E+01   -0.8802839648E+01    0.1160451812E+02    0.1546250000E+02    0.8000000000E+00
       140   -0.7216520310E+01   -0.7403185543E+01    0.7736345414E+01    0.1438750000E+02    0.8000000000E+00
       141   -0.6663088151E+01   -0.6762964441E+01    0.5802259061E+01    0.1457500000E+02    0.8000000000E+00
       142   -0.6340609399E+01   -0.6332585784E+01    0.4641807249E+01    0.1412500000E+02    0.8000000000E+00
       143   -0.8228729799E+01   -0.8834698000E+01    0.1160451812E+02    0.1585000000E+02    0.8000000000E+00
       144   -0.7247450203E+01   -0.7477179136E+01    0.7736345414E+01    0.1528750000E+02    0.8000000000E+00
       145   -0.6652501465E+01   -0.6743438354E+01    0.5802259061E+01    0.1433750000E+02    0.8000000000E+00
       146   -0.6236691911E+01   -0.6320253518E+01    0.4641807249E+01    0.1397500000E+02    0.8000000000E+00
       147   -0.9487380604E+01   -0.9354359237E+01    0.1160451812E+02    0.1731578947E+02    0.5000000000E+00
       148   -0.8221768049E+01   -0.8030105037E+01    0.7736345414E+01    0.1715789474E+02    0.5000000000E+00
       149   -0.7450361430E+01   -0.7338409347E+01    0.5802259061E+01    0.1671929825E+02    0.5000000000E+00
       150   -0.7016113171E+01   -0.6923391932E+01    0.4641807249E+01    0.1645614035E+02    0.5000000000E+00
       151   -0.8752368839E+01   -0.9518767304E+01    0.1160451812E+02    0.1497368421E+02    0.2317073171E+00
       152   -0.7713498198E+01   -0.8159896217E+01    0.7736345414E+01    0.1439473684E+02    0.2317073171E+00
       153   -0.7094603908E+01   -0.7480460674E+01    0.5802259061E+01    0.1410526316E+02    0.2317073171E+00
       154   -0.6699313268E+01   -0.7002700155E+01    0.4641807249E+01    0.1307894737E+02    0.2317073171E+00
       155   -0.9019953097E+01   -0.8917551167E+01    0.1160451812E+02    0.1470000000E+02    0.6666666667E+00
       156   -0.7624860987E+01   -0.7584696834E+01    0.7736345414E+01    0.1443750000E+02    0.6666666667E+00
       157   -0.6993737985E+01   -0.6877675960E+01    0.5802259061E+01    0.1381250000E+02    0.6666666667E+00
       158   -0.6554757487E+01   -0.6474017211E+01    0.4641807249E+01    0.1368750000E+02    0.6666666667E+00
       159   -0.8112079145E+01   -0.8635326376E+01    0.1160451812E+02    0.1342500000E+02    0.8000000000E+00
       160   -0.7182816003E+01   -0.7291167466E+01    0.7736345414E+01    0.1302500000E+02    0.8000000000E+00
       161   -0.6702375534E+01   -0.6590312724E+01    0.5802259061E+01    0.1247500000E+02    0.8000000000E+00
       162   -0.6239370676E+01   -0.6146574113E+01    0.4641807249E+01    0.1186250000E+02    0.8000000000E+00
       163   -0.9251828213E+01   -0.9427636463E+01    0.1160451812E+02    0.1982539683E+02    0.6000000000E+00
       164   -0.8040126440E+01   -0.8047198507E+01    0.7736345414E+01    0.1898412698E+02    0.6000000000E+00
       165   -0.7188974415E+01   -0.7305431965E+01    0.5802259061E+01    0.1793650794E+02    0.6000000000E+00
       166   -0.6803424363E+01   -0.6899000088E+01    0.4641807249E+01    0.1777777778E+02    0.6000000000E+00
       167   -0.9597719030E+01   -0.9119656077E+01    0.1160451812E+02    0.1607936508E+02    0.6000000000E+00
       168   -0.8104813378E+01   -0.7784893178E+01    0.7736345414E+01    0.1579365079E+02    0.6000000000E+00
       169   -0.7262940904E+01   -0.7114901726E+01    0.5802259061E+01    0.1561904762E+02    0.6000000000E+00
       170   -0.6845962963E+01   -0.6686284821E+01    0.4641807249E+01    0.1519047619E+02    0.6000000000E+00
       171   -0.8262879709E+01   -0.8621345505E+01    0.1160451812E+02    0.1396296296E+02    0.8437500000E+00
       172   -0.7383404575E+01   -0.7250695062E+01    0.7736345414E+01    0.1324074074E+02    0.8437500000E+00
       173   -0.6696738723E+01   -0.6525023540E+01    0.5802259061E+01    0.1238888889E+02    0.8437500000E+00
       174   -0.6323207465E+01   -0.6146866698E+01    0.4641807249E+01    0.1257407407E+02    0.8437500000E+00
       175   -0.8005881486E+01   -0.8634641250E+01    0.1160451812E+02    0.1341666667E+02    0.8000000000E+00
       176   -0.7201069315E+01   -0.7295963346E+01    0.7736345414E+01    0.1308333333E+02    0.8000000000E+00
