     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4
        47   -0.9964320946E+01   -0.9365498888E+01    0.1160451812E+02    0.1643636364E+02    0.8545454546E+01    0.5913604684E+00
        48   -0.8250322175E+01   -0.8001373490E+01    0.7736345414E+01    0.1680000000E+02    0.9272727273E+01    0.5762917393E+00
        49   -0.7579014753E+01   -0.7359924270E+01    0.5802259061E+01    0.1663636364E+02    0.8690909091E+01    0.5539026027E+00
        50   -0.7058814476E+01   -0.6856154761E+01    0.4641807249E+01    0.1501818182E+02    0.7854545455E+01    0.5343691519E+00
        51   -0.8257174368E+01   -0.8792446143E+01    0.1160451812E+02    0.1378571429E+02    0.1002380952E+02    0.5273090034E+00
        52   -0.7336286271E+01   -0.7475765428E+01    0.7736345414E+01    0.1385714286E+02    0.1016666667E+02    0.5188399686E+00
        53   -0.6807875284E+01   -0.6777893437E+01    0.5802259061E+01    0.1321428571E+02    0.9642857143E+01    0.4970239081E+00
        54   -0.6373681617E+01   -0.6317396254E+01    0.4641807249E+01    0.1248809524E+02    0.9142857143E+01    0.4703652049E+00
        55   -0.7838608532E+01   -0.8591690758E+01    0.1160451812E+02    0.1220238095E+02    0.9690476191E+01    0.4915078839E+00
        56   -0.6968753939E+01   -0.7244871423E+01    0.7736345414E+01    0.1189285714E+02    0.9523809524E+01    0.4705097706E+00
        57   -0.6538576426E+01   -0.6557369165E+01    0.5802259061E+01    0.1105952381E+02    0.8857142857E+01    0.4561878198E+00
        58   -0.6196685620E+01   -0.6136556067E+01    0.4641807249E+01    0.1094047619E+02    0.8785714286E+01    0.4414677920E+00
        59   -0.8066179676E+01   -0.8693370854E+01    0.1160451812E+02    0.1555952381E+02    0.1288095238E+02    0.5444334872E+00
        60   -0.7201876841E+01   -0.7370817194E+01    0.7736345414E+01    0.1516666667E+02    0.1238095238E+02    0.5212051302E+00
        61   -0.6681814603E+01   -0.6688530641E+01    0.5802259061E+01    0.1467857143E+02    0.1200000000E+02    0.5071845922E+00
        62   -0.6312355997E+01   -0.6309568612E+01    0.4641807249E+01    0.1460714286E+02    0.1166666667E+02    0.4962334050E+00
        63   -0.8814767363E+01   -0.8837071863E+01    0.1160451812E+02    0.1410714286E+02    0.9833333333E+01    0.5216528840E+00
        64   -0.7604099765E+01   -0.7447887027E+01    0.7736345414E+01    0.1357142857E+02    0.9809523809E+01    0.4995119025E+00
        65   -0.6948301999E+01   -0.6743240126E+01    0.5802259061E+01    0.1295238095E+02    0.9285714286E+01    0.4729124548E+00
        66   -0.6518686119E+01   -0.6298588792E+01    0.4641807249E+01    0.1275000000E+02    0.9404761905E+01    0.4615059513E+00
        67   -0.7998266669E+01   -0.8626665951E+01    0.1160451812E+02    0.1461904762E+02    0.1183333333E+02    0.5010819817E+00
        68   -0.7064817594E+01   -0.7310126497E+01    0.7736345414E+01    0.1453571429E+02    0.1164285714E+02    0.4818943030E+00
        69   -0.6609165537E+01   -0.6616475195E+01    0.5802259061E+01    0.1383333333E+02    0.1111904762E+02    0.4655027587E+00
        70   -0.6191707090E+01   -0.6200164154E+01    0.4641807249E+01    0.1321428571E+02    0.1050000000E+02    0.4488095982E+00
        71   -0.8498677176E+01   -0.8740998022E+01    0.1160451812E+02    0.1498809524E+02    0.1190476190E+02    0.5437673103E+00
        72   -0.7417949102E+01   -0.7421183932E+01    0.7736345414E+01    0.1482142857E+02    0.1164285714E+02    0.5233289088E+00
        73   -0.6817227608E+01   -0.6724096343E+01    0.5802259061E+01    0.1450000000E+02    0.1142857143E+02    0.5022152099E+00
        74   -0.6427985928E+01   -0.6276378947E+01    0.4641807249E+01    0.1400000000E+02    0.1126190476E+02    0.4890071124E+00
        75   -0.8859097756E+01   -0.8658912214E+01    0.1160451812E+02    0.1341666667E+02    0.1026190476E+02    0.4926385299E+00
        76   -0.7544220281E+01   -0.7333806472E+01    0.7736345414E+01    0.1286904762E+02    0.9642857143E+01    0.4696868247E+00
        77   -0.6838705916E+01   -0.6614351079E+01    0.5802259061E+01    0.1270238095E+02    0.9785714286E+01    0.4492469410E+00
        78   -0.6390182052E+01   -0.6163758294E+01    0.4641807249E+01    0.1195238095E+02    0.9309523809E+01    0.4303550605E+00
        79   -0.8114065145E+01   -0.8553113409E+01    0.1160451812E+02    0.1433333333E+02    0.1135714286E+02    0.4514086198E+00
        80   -0.7035634333E+01   -0.7215130975E+01    0.7736345414E+01    0.1378571429E+02    0.1080952381E+02    0.4259670887E+00
        81   -0.6552085430E+01   -0.6532325765E+01    0.5802259061E+01    0.1308333333E+02    0.1021428571E+02    0.4110220202E+00
        82   -0.6133278189E+01   -0.6113981113E+01    0.4641807249E+01    0.1264285714E+02    0.9833333333E+01    0.3972709868E+00
        83   -0.8373248704E+01   -0.8580424306E+01    0.1160451812E+02    0.1378571429E+02    0.1097619048E+02    0.4733879106E+00
        84   -0.7327403798E+01   -0.7246386157E+01    0.7736345414E+01    0.1328571429E+02    0.1050000000E+02    0.4514947002E+00
        85   -0.6780141083E+01   -0.6550053285E+01    0.5802259061E+01    0.1254761905E+02    0.9833333333E+01    0.4274260707E+00
        86   -0.6347637274E+01   -0.6127284024E+01    0.4641807249E+01    0.1207142857E+02    0.9428571429E+01    0.4119796736E+00
        87   -0.9669969206E+01   -0.9480254161E+01    0.1160451812E+02    0.2138461538E+02    0.1053846154E+02    0.4947956624E+00
        88   -0.8171686177E+01   -0.8098503963E+01    0.7736345414E+01    0.2042307692E+02    0.9961538461E+01    0.4678136167E+00
        89   -0.7504977923E+01   -0.7433840098E+01    0.5802259061E+01    0.2003846154E+02    0.9500000000E+01    0.4525322294E+00
        90   -0.7004644775E+01   -0.6985607999E+01    0.4641807249E+01    0.1946153846E+02    0.9192307692E+01    0.4351202811E+00
        91   -0.8788187942E+01   -0.8964546421E+01    0.1160451812E+02    0.1185714286E+02    0.4428571429E+01    0.3979926965E+00
        92   -0.7549831850E+01   -0.7666303762E+01    0.7736345414E+01    0.1121428571E+02    0.3714285714E+01    0.3885511381E+00
        93   -0.7051707523E+01   -0.6940878137E+01    0.5802259061E+01    0.1073809524E+02    0.3714285714E+01    0.3737214137E+00
        94   -0.6689903384E+01   -0.6471303409E+01    0.4641807249E+01    0.1054761905E+02    0.4000000000E+01    0.3584860094E+00
        95   -0.8882908159E+01   -0.8975554481E+01    0.1160451812E+02    0.1202380952E+02    0.4380952381E+01    0.3917814208E+00
        96   -0.7703309120E+01   -0.7618255904E+01    0.7736345414E+01    0.1190476190E+02    0.4666666667E+01    0.3811139550E+00
        97   -0.6963189662E+01   -0.6924101102E+01    0.5802259061E+01    0.1064285714E+02    0.3666666667E+01    0.3675596160E+00
        98   -0.6649709480E+01   -0.6507612320E+01    0.4641807249E+01    0.1050000000E+02    0.3571428571E+01    0.3549883640E+00
        99   -0.8870992275E+01   -0.9106512117E+01    0.1160451812E+02    0.1373214286E+02    0.6392857143E+01    0.4818523758E+00
       100   -0.7682920433E+01   -0.7721181335E+01    0.7736345414E+01    0.1280357143E+02    0.6000000000E+01    0.4618607176E+00
       101   -0.7056175708E+01   -0.7004891381E+01    0.5802259061E+01    0.1255357143E+02    0.6071428571E+01    0.4434791061E+00
       102   -0.6585778742E+01   -0.6526708174E+01    0.4641807249E+01    0.1191071429E+02    0.5964285714E+01    0.4258700177E+00
       103   -0.8498823453E+01   -0.8651089313E+01    0.1160451812E+02    0.1321666667E+02    0.8033333333E+01    0.3708153679E+00
       104   -0.7312889042E+01   -0.7293823105E+01    0.7736345414E+01    0.1211666667E+02    0.7133333333E+01    0.3453231951E+00
       105   -0.6728360334E+01   -0.6602538072E+01    0.5802259061E+01    0.1206666667E+02    0.7200000000E+01    0.3285746273E+00
       106   -0.6314703278E+01   -0.6150867900E+01    0.4641807249E+01    0.1106666667E+02    0.6566666667E+01    0.3137257670E+00
       107   -0.9832829668E+01   -0.8996129293E+01    0.1160451812E+02    0.1301666667E+02    0.7066666667E+01    0.5031973911E+00
       108   -0.7990853830E+01   -0.7649780066E+01    0.7736345414E+01    0.1296666667E+02    0.7066666667E+01    0.4778734764E+00
       109   -0.7156951524E+01   -0.6827015139E+01    0.5802259061E+01    0.1153333333E+02    0.6566666667E+01    0.4364991886E+00
