,Ga-Ga,Ga-Si,Si-Si,r
84,0.9979046538332286,1.0101250111005584,0.9648948636433916,8.4
85,0.9980222433298833,1.0109044724324683,0.9656838510150875,8.5
86,0.9972012257044882,1.0105525238685034,0.9659006503139814,8.6
87,0.9954330517539761,1.0096814495899624,0.967265351962144,8.700000000000001
88,0.9929378028636974,1.0092441234286689,0.9712406108422093,8.8
89,0.9902985396897787,1.0098253921007738,0.9774890004643652,8.9
90,0.9884113105861934,1.0113162739987396,0.9848555657614507,9.0
91,0.9879953911627531,1.0131781115008103,0.9927857420609412,9.1
92,0.9890777537785511,1.0148517587192643,1.0006423739001848,9.200000000000001
93,0.9911220343880245,1.0158722220758167,1.0063089881494303,9.3
94,0.993536180405135,1.0158451834413171,1.0069240945172182,9.4
95,0.9958225652307167,1.014555634249154,1.0012871451113876,9.5
