,Li-Li,Li-Mg,Li-Si,Mg-Mg,Mg-Si,Si-Si,r
60,0.987969380969256,1.010650876526215,0.9946865248354907,0.9991683148646653,1.0205096435059515,0.9341580815617285,6.0
61,0.9851207164732699,1.0079550838732496,0.9895780374136693,0.9967688291191393,1.0107584994424215,0.9351257595010629,6.1000000000000005
62,0.9831621699441563,1.0056379568742642,0.9874101648658858,0.9900543599353063,1.001742414385576,0.9398023721142154,6.2
63,0.9816922960587201,1.0035453465971484,0.9872734957969597,0.9820663807978135,0.9928698880680247,0.9468228574491488,6.300000000000001
64,0.9805782362724142,1.0021469135143624,0.9884547695500631,0.9770639598786504,0.9850564548997824,0.954732126332604,6.4
65,0.9798617352165596,1.002112034915528,0.9906950342037832,0.9768412734323063,0.9805833490663022,0.9629131247804156,6.5
66,0.9794600795812936,1.0037904953063606,0.9937766093463514,0.9789318638012995,0.9813486085882838,0.9707722466216021,6.6000000000000005
67,0.9790730122892092,1.0067898924742553,0.9972142068619616,0.9784221603154233,0.9869965602870455,0.977165525254627,6.7
68,0.978642588794606,1.009970717296083,1.0003629218958536,0.9720692996493819,0.9948098193942359,0.9812195211251864,6.800000000000001
69,0.9787534193122862,1.0121355559251501,1.0026735391353068,0.9611403669857871,1.0015813463608538,0.9831037470652961,6.9
70,0.9800570094382512,1.0128874790276579,1.003886435146383,0.950361117370234,1.0055418806535534,0.9834793553520862,7.0
71,0.9823482182082174,1.0128391080044101,1.0041572679932353,0.9441296048361031,1.0066287355183594,0.9825393308027521,7.1000000000000005
72,0.9847014983798424,1.013040176876204,1.0039692806910459,0.9436877570830821,1.005673658702929,0.9800528066886061,7.2
73,0.9864142208093012,1.014103650163188,1.0037347666685206,0.9473737458721508,1.0038838832672898,0.9762302717887819,7.300000000000001
74,0.9873643481232512,1.0156427877670298,1.0035623613967741,0.9526047374253219,1.0027205026463208,0.9720003870628056,7.4
75,0.9877541303565078,1.0166256406400562,1.0036446533728287,0.9573357397941977,1.003458792167844,0.9682077573537581,7.5
76,0.98808068575714,1.0164978213089475,1.0046326981262477,0.9607109877069905,1.0063602275598749,0.9648514221425426,7.6000000000000005
77,0.989085042736415,1.0157901136849214,1.0071136426851626,0.9632660634332526,1.0102511451316105,0.9614105311424241,7.7
78,0.9910930265872807,1.0154728272936784,1.0107428376303518,0.966171033186827,1.0131874586346128,0.9578136571162338,7.800000000000001
79,0.9934079486914977,1.015925414690857,1.0142987024748011,0.9697334045926095,1.013851552891682,0.9549921213601713,7.9
80,0.9947312822216027,1.0166835549021098,1.0166301378957991,0.972744892100587,1.012326636358286,0.9544809844894874,8.0
81,0.9943189725783107,1.0170436945846544,1.0172926863663987,0.9734097106618428,1.0095198930223777,0.9573565277775883,8.1
82,0.9927150516195941,1.0167464842719949,1.0164601491209204,0.9708213219977624,1.0061890888006884,0.9632511030860469,8.200000000000001
