,Si-Si,Si-Pt,Pt-Pt,r
84,0.9996371782921712,1.0117769723947092,0.9946024885993493,8.4
85,0.9989662239845085,1.0132025469794357,1.000721231910029,8.5
86,0.9988410816156519,1.0134100620992528,1.0012127521667975,8.6
87,0.9993161187642506,1.0125251578461683,0.9967639239690085,8.700000000000001
88,0.9998938183890629,1.0107470825800438,0.9906264257375089,8.8
89,0.9999553242220381,1.0082255924712462,0.9856602632955742,8.9
90,0.999292490361284,1.0052880166180098,0.9820969268720611,9.0
91,0.9981733468067009,1.0024945354691535,0.978308360714287,9.1
92,0.9969978888741797,1.0002939633059236,0.9734389812354152,9.200000000000001
93,0.9959851935668455,0.9987476304556311,0.9688021209893221,9.3
94,0.9950856358937216,0.9976559641217655,0.966700149425897,9.4
95,0.9940778666941158,0.9968274376906363,0.9682554714563261,9.5
