,Li-Li,Li-Te,Te-Te,r
84,0.9922621125562332,1.0057530491958155,0.9915186163501867,8.4
85,0.9925748514774106,1.0065071843503848,0.9996008216778398,8.5
86,0.9933633496224846,1.005915146478442,1.0064814089716012,8.6
87,0.9944585309936935,1.004240743787158,1.009861726208539,8.700000000000001
88,0.9957010806771777,1.0023868727685987,1.0090335040598335,8.8
89,0.9965830248368146,1.0010927700379066,1.0049590490250202,8.9
90,0.9964667808708781,1.0005331449981698,0.9992600746286735,9.0
91,0.9952600671327799,1.000503379670625,0.9935251830772064,9.1
92,0.9936896315916735,1.0007364764784543,0.9893707840626103,9.200000000000001
93,0.99280961034186,1.001073600267918,0.9881697954632027,9.3
94,0.9932655607829278,1.0015419954326779,0.989832998045961,9.4
95,0.9949125089145954,1.0023189916512079,0.9921366424551548,9.5
