,Si-Si,Si-B,B-B,r
83,0.9980640118672774,1.0066480398102546,0.9569108154854704,8.3
84,0.9983600982179606,1.0065344984331765,0.963725626250623,8.4
85,0.9983755752135037,1.0061655785424795,0.9719230410924281,8.5
86,0.9980104174603064,1.0052812729737532,0.9806602339159568,8.6
87,0.9971437231303496,1.004019980344832,0.9884200859127564,8.700000000000001
88,0.9956614476854703,1.0028477735971608,0.993563683246294,8.8
89,0.993650776244204,1.0021908705953966,0.9950143781714414,8.9
90,0.9914881395818758,1.0020280361446765,0.9925048520187546,9.0
91,0.9896530905600921,1.0019404456401115,0.9863949193858575,9.1
92,0.9885661393068795,1.001655501153769,0.9776394426567885,9.200000000000001
93,0.9886479689453552,1.0013724336522603,0.9679338733636632,9.3
94,0.9902724454589638,1.0013569511248177,0.9594843675611375,9.4
