,Si-Si,Si-F,F-F,r
84,0.9983376074997319,1.0100994109742583,0.9822793533173545,8.4
85,0.998381753359899,1.008193395240513,0.9835057366229962,8.5
86,0.997530178887195,1.0053764163661543,0.9843820295300348,8.6
87,0.9955525000692192,1.002330638789572,0.9840953767980383,8.700000000000001
88,0.993004212244177,0.9996661244670989,0.9815942858448717,8.8
89,0.9907773658245509,0.9977211699690467,0.9772134692631657,8.9
90,0.989591634602727,0.9965529996585739,0.9727562160417758,9.0
91,0.9898439067664389,0.9961550417904739,0.9698968798496762,9.1
92,0.9916048630930341,0.9966747966295729,0.9688121694369539,9.200000000000001
93,0.994517335234486,0.9984005340948093,0.9684990811816387,9.3
94,0.997702107261806,1.0014774476201491,0.9681018048773258,9.4
95,0.9999706678189931,1.0055403674782726,0.9676135766411189,9.5
