,Li-Li,Li-Fe,Li-Si,Fe-Fe,Fe-Si,Si-Si,r
59,0.957844015945565,0.9966149794483853,0.9870005737376782,0.9358114585535177,0.9920169861109192,0.9539726205643219,5.9
60,0.9510620188957367,0.998488242368647,0.9922392749623948,0.9428729651059012,0.9942628287892579,0.9588509613272622,6.0
61,0.9480317754452665,1.0028695580291036,0.9979762540997287,0.9499379555057681,0.9965622541607912,0.9687037480865418,6.1000000000000005
62,0.9492950241898864,1.008687452225914,1.0030722705837105,0.9553148389590066,0.9984908071021351,0.9817944368843343,6.2
63,0.9537000843331468,1.015172932669102,1.0073408189400057,0.9581856620746928,0.9997824215041275,0.9944013669509999,6.300000000000001
64,0.9591975636243256,1.0220117212761968,1.0108582929061654,0.9586004303032968,1.0004279170427375,1.0028197350751646,6.4
65,0.9642786397014843,1.0287687916676065,1.0135512880391393,0.9572564078261331,1.000790076876516,1.0051736882875013,6.5
66,0.968653906538808,1.0346575084668517,1.0154622955076744,0.9552162175085324,1.0013676226004258,1.002024546924273,6.6000000000000005
67,0.9726918897682145,1.039053439627518,1.017032196164426,0.9534984344745802,1.0022918637456504,0.995808290728673,6.7
68,0.9764929769612923,1.04197217039813,1.018790280617197,0.9526709016442617,1.0030795417428908,0.9895825478741632,6.800000000000001
69,0.9795235265056588,1.0439242532634914,1.0208185087898394,0.9527994170331591,1.0029550266127212,0.9856181497257351,6.9
70,0.9810050774583882,1.0454225007903688,1.0226579945088394,0.9535966967664261,1.0015311295268914,0.9844869841933491,7.0
71,0.9806406622550563,1.0465506237674806,1.0237044732302472,0.954496376416227,0.9992698239784392,0.9852141973125543,7.1000000000000005
72,0.9790246290403456,1.0468367212135403,1.023656535702588,0.9548213770508065,0.9971530854683265,0.9863809418239915,7.2
73,0.9772315284639481,1.0456229132067043,1.0226606301485854,0.9541386952671356,0.9958525300913366,0.9871925930791392,7.300000000000001
74,0.9758814267567891,1.042701256203419,1.0210771394552112,0.952486428793644,0.9954187583008843,0.9876123328705075,7.4
75,0.9746671857424061,1.0386523745712684,1.0191321738499186,0.9503865041483837,0.9956723699088246,0.9876892842975833,7.5
76,0.9727476612165327,1.034569273171436,1.0168723986989705,0.9487464715092834,0.996350197027455,0.9870931995235616,7.6000000000000005
77,0.9694226862446764,1.0313763146825985,1.014420419572221,0.9485215586167456,0.9967827424250925,0.9853418311112794,7.7
78,0.9645873907994972,1.0293307076427924,1.0120604284096284,0.9501078856289248,0.9959164766118292,0.9823209961121901,7.800000000000001
79,0.9589218772081421,1.0281778523380343,1.0100087004556482,0.9528973274832392,0.9930092977855914,0.9787228948555194,7.9
80,0.9536764163562343,1.0276305728390631,1.008305810687003,0.9556045076702511,0.9882884834753838,0.9761297381617847,8.0
81,0.9500019685862043,1.0274966859739187,1.0070034645332522,0.9572399160168933,0.9828853267486969,0.9763335129352876,8.1
