,Si-Si,Si-Se,Se-Se,r
84,0.995279526447187,1.0052845455356363,0.9668145704513119,8.4
85,0.9938720662023086,1.0057364369594808,0.9682348096895624,8.5
86,0.9918063880956451,1.0060338622092015,0.9729015056673906,8.6
87,0.989976630833574,1.006119020159525,0.9794436284268193,8.700000000000001
88,0.988992098423277,1.0061487822250121,0.9856638708775385,8.8
89,0.9889390260844113,1.0062375709235887,0.9892061529088306,8.9
90,0.989421336283572,1.0064526768675797,0.9886682136361534,9.0
91,0.9898207760026666,1.006958755587342,0.9847220950645151,9.1
92,0.9897609196746513,1.0079486010428373,0.9797216352704281,9.200000000000001
93,0.9894793804877673,1.0093953809983527,0.975854218886389,9.3
94,0.9896134476067958,1.010952440682655,0.9739422763594601,9.4
95,0.9905426934684717,1.012107965694225,0.9739508697551541,9.5
