,Li-Li,Li-Hf,Li-Si,Hf-Hf,Hf-Si,Si-Si,r
60,0.9484573655192572,1.0409242252585984,0.9961214487912315,1.0219936940696284,1.030393027904133,0.9445232353870939,6.0
61,0.9406366246057233,1.0383873808228745,0.9925053685509958,0.9981242734586492,1.020226142022347,0.9323683505087315,6.1000000000000005
62,0.9352311725745133,1.0353649164110292,0.9890028943170783,0.9742464990485276,1.0112245231771333,0.9276842072005634,6.2
63,0.9326483783589411,1.0316902307243496,0.9860032164938188,0.9532450095406938,1.002622480612129,0.9317247388397865,6.300000000000001
64,0.9322541743995767,1.027797336823275,0.983840418923876,0.9366361650390682,0.9934250564653943,0.9427471470203985,6.4
65,0.932873034923424,1.0242250159191955,0.9830011551760248,0.9234788479673727,0.9831595551406749,0.9565529236879884,6.5
66,0.9333165399614768,1.0216095278055155,0.9839142075110738,0.911666743932503,0.9725566388420316,0.968818838740619,6.6000000000000005
67,0.932867504350595,1.0207831858587832,0.9866039639420756,0.9000321722281617,0.9636566622869599,0.9775899021001507,6.7
68,0.9318891342738389,1.0224838446034692,0.9907239137207519,0.8894553258949736,0.9590002151919765,0.983621261624484,6.800000000000001
69,0.9317918864640539,1.027071449231026,0.9957637347652004,0.8823149810405659,0.960219544950991,0.9883313621732607,6.9
70,0.933831229639095,1.03446105225143,1.0010612729810113,0.8809003939264568,0.967041985343651,0.9918641980567608,7.0
71,0.9378555992024262,1.0438710246138523,1.0059094734091065,0.8860772438560532,0.9774100177339071,0.9934180325382567,7.1000000000000005
72,0.9423875731877723,1.053551318083715,1.009951862205358,0.8971700910511567,0.9884447013483877,0.9931376160148425,7.2
73,0.9456870931880572,1.0613430862520599,1.013268446493215,0.9126958554291913,0.9975564002170768,0.9930052109475835,7.300000000000001
74,0.9466453811865804,1.066011636579843,1.0158851978414745,0.9307009852338968,1.003322240855303,0.9955059769797485,7.4
75,0.9451178415468939,1.067997276827525,1.017473936726823,0.9484454494508214,1.0059534786499376,1.00142354470378,7.5
76,0.9418572739039553,1.068693967871529,1.0177570797486812,0.9625850603309498,1.0070329384990158,1.0091709527810167,7.6000000000000005
77,0.9381128657895972,1.069083573419325,1.0169609593774422,0.9705292539253081,1.008482758696228,1.0162610935978071,7.7
78,0.9349570031673287,1.0691271497995174,1.015613978478838,0.9719327723380818,1.0114212396043731,1.0210238531999312,7.800000000000001
79,0.9326735958124875,1.0682486527733799,1.014000907768431,0.9689193164704224,1.0157542665537411,1.0228398009711346,7.9
80,0.930711245570971,1.0662056776720035,1.0120957744919852,0.964778272644558,1.0205803158166231,1.021567023402176,8.0
81,0.928429741176916,1.0635577984501834,1.010047491172581,0.9619560380845554,1.024750239073876,1.0175466394602535,8.1
82,0.9259342910954342,1.061317600409558,1.0083976021593428,0.9607230851575571,1.0271927633023392,1.0119399814426306,8.200000000000001
83,0.9239660798853268,1.060029041168871,1.007639171574756,0.959542170655121,1.0272019017359644,1.006405728427589,8.3
