,Li-Li,Li-Ta,Ta-Ta,r
83,0.9721132798484886,1.0956862251642148,0.7943026600118908,8.3
84,0.9724901765290556,1.0954133231092122,0.7922962312250761,8.4
85,0.9728116914999794,1.0940386409102905,0.7865363763038912,8.5
86,0.9725135535026025,1.0919530021053665,0.7774319158068834,8.6
87,0.9712795717526941,1.0897332994532767,0.7668175958207728,8.700000000000001
88,0.9691988584240389,1.0875490767809177,0.7565263970819047,8.8
89,0.9668149252983635,1.0851050624784948,0.747644937584367,8.9
90,0.9648686799328824,1.0821213811360286,0.7408936965719217,9.0
91,0.9638115445832767,1.0787191733825339,0.7369465466039112,9.1
92,0.9635227266286658,1.0753201140680129,0.735941563581496,9.200000000000001
93,0.9634589144536214,1.0723202604584516,0.7370438932253489,9.3
94,0.963048324836636,1.0699568705299671,0.7389051852648851,9.4
