,Mg-Mg,Mg-Si,Si-Si,r
84,1.0026554303077393,1.0054035715399516,0.941608548437106,8.4
85,1.0010546339283903,1.0057006022390196,0.9471850272749334,8.5
86,0.9995790115931401,1.006114371029136,0.9534040511891676,8.6
87,0.9984670856560788,1.0064288185829746,0.9605996939878652,8.700000000000001
88,0.9978524602155769,1.00685351827474,0.9693993955280539,8.8
89,0.9977520479026746,1.0077318394070842,0.979505626886036,8.9
90,0.9979684083221291,1.0089765361848233,0.9890889595815998,9.0
91,0.9981036141226421,1.0099709292876085,0.9958419138084965,9.1
92,0.9977939406760893,1.010120621769668,0.998663331158013,9.200000000000001
93,0.9970434763630271,1.0093312386538784,0.9983028137984132,9.3
94,0.9962979252522307,1.0079812269294968,0.9965231721238812,9.4
95,0.9960213912823623,1.0066442093042145,0.9946710445959679,9.5
