,Li-Li,Li-Tc,Tc-Tc,r
83,0.9938588196031918,1.0239403377205405,0.6653645778186356,8.3
84,0.9958362294644627,1.0236983667242359,0.6705126651763846,8.4
85,0.9979352433951294,1.02386553647154,0.6730041608628572,8.5
86,0.9996471715358373,1.0243867411372625,0.6720280840242352,8.6
87,1.0007575092566765,1.0252678235768409,0.6692667580704322,8.700000000000001
88,1.001334801488087,1.026589225738335,0.668758268213659,8.8
89,1.001373840645284,1.0284806848266155,0.6740548237347295,8.9
90,1.000620334130283,1.030820181651409,0.6849357441211585,9.0
91,0.9988786124199869,1.0330098612531893,0.697303464244133,9.1
92,0.9963997275134947,1.0343511911520016,0.7065558023374813,9.200000000000001
93,0.9937684349891354,1.0347445078639006,0.7107080048601502,9.3
94,0.9914367620428243,1.0348069204624,0.7104804482945994,9.4
