,Li-Li,Li-Ta,Ta-Ta,r
83,0.8929836424288267,1.0518941874638352,0.9943394571105271,8.3
84,0.8940084180552058,1.0446765984685062,0.9816747492903667,8.4
85,0.8962366862039812,1.03916341343974,0.9698095850844591,8.5
86,0.899556379730876,1.0351185586642304,0.959692305088427,8.6
87,0.9035541726602966,1.0318317314300203,0.9520004198404542,8.700000000000001
88,0.9076098412035949,1.0286185249548314,0.9470078886506773,8.8
89,0.9112031606813833,1.0252949950581474,0.9444473764899263,8.9
90,0.9143908113544128,1.0223379127858794,0.943720660223575,9.0
91,0.9177750918565244,1.020506651474356,0.9443767789123395,9.1
92,0.9219228865911943,1.0202204963527146,0.9464910878657086,9.200000000000001
93,0.9269419275637029,1.0212485020960451,0.9506666821571752,9.3
94,0.9324985685197092,1.0229150784203587,0.9576073875191755,9.4
