,Ti-Ti,Ti-Si,Si-Si,r
83,0.9957419211796765,1.0034043430547226,1.0024861762200277,8.3
84,0.9972172437190787,1.000814286587145,1.0008547352303818,8.4
85,0.9975844794357765,0.9985696730449791,0.9992128024401329,8.5
86,0.9967453052599341,0.996583379333979,0.9979785405744035,8.6
87,0.9953581322845919,0.994554280056269,0.9972204386776077,8.700000000000001
88,0.9943404668106015,0.9923816677453784,0.9967404260919004,8.8
89,0.9943702302003499,0.9903563609827024,0.9963285996207522,8.9
90,0.9957061930976002,0.989010325108617,0.9958776820105153,9.0
91,0.9981602211890634,0.9887364320324384,0.9952841721164196,9.1
92,1.0010557835412284,0.9895532899900432,0.9943832784262364,9.200000000000001
93,1.0033241985805552,0.991300820113286,0.9930980724296385,9.3
94,1.0039816811293067,0.9939192908315337,0.9916499968013879,9.4
