,Si-Si,Si-Au,Au-Au,r
84,0.9989480478625956,1.0011083271812176,0.986806777301153,8.4
85,0.9997416396588983,0.9994261755531865,0.9821038922185753,8.5
86,0.9998937393713658,0.997816607218759,0.9806618297469685,8.6
87,0.9995897114775566,0.9965917176442021,0.9821385571181577,8.700000000000001
88,0.9994493524153211,0.9962801629146358,0.9855036335814198,8.8
89,0.999973051683266,0.997070404148508,0.9891697609069364,8.9
90,1.000852598882205,0.9984706334645063,0.99135019243828,9.0
91,1.001060388093059,0.9996165429262163,0.9907653121576004,9.1
92,0.9998661330797416,0.9999899680318055,0.987302614178745,9.200000000000001
93,0.99762041477303,0.9999460256018847,0.9821438061058625,9.3
94,0.9953159040784337,1.0004829448710126,0.9770882486062222,9.4
95,0.9935534142935756,1.0022856481031235,0.973305006813727,9.5
