,Li-Li,Li-Cu,Cu-Cu,r
82,0.9756715585494384,0.9930538472828012,0.982690782142227,8.200000000000001
83,0.9764151905564726,0.9929652769428167,0.9834654989972964,8.3
84,0.978545060075537,0.9938942115263714,0.9845651009109514,8.4
85,0.9811099797352494,0.9957376177827538,0.9855325786507602,8.5
86,0.9833433890843778,0.998242266281349,0.9863702950303886,8.6
87,0.9847110171033359,1.0011275837880655,0.9874528234591522,8.700000000000001
88,0.9850900351392811,1.004294838747731,0.9892651743497365,8.8
89,0.9848679062324714,1.0078058507514778,0.992195986682539,8.9
90,0.9847001113515201,1.01157234638852,0.9963910255543189,9.0
91,0.9850630230352627,1.015177479149572,1.0015983959988037,9.1
92,0.9859471500052206,1.0181240998546393,1.0070930509736873,9.200000000000001
93,0.9869092871328056,1.0201971169953419,1.0118107544251236,9.3
