,Si-Si,Si-Sn,Sn-Sn,r
85,0.9308227714684806,0.9834284876336339,1.0052643019002725,8.5
86,0.9358566374344552,0.9841098236960762,1.0040595953878564,8.6
87,0.9439934972739098,0.9868146508841023,1.0015766238907782,8.700000000000001
88,0.9520745043280823,0.9909709532967569,0.998257046038828,8.8
89,0.9580317647130255,0.99579855186632,0.994798207689347,8.9
90,0.9615433439275248,1.000711875895066,0.991922455331375,9.0
91,0.9629265728065387,1.0051953243783263,0.990242607116893,9.1
92,0.962068995662351,1.0086377701423523,0.9902078406126127,9.200000000000001
93,0.9588032185711044,1.010687652972103,0.9918472132405928,9.3
94,0.954205630871178,1.011695819201269,0.9945262427059832,9.4
95,0.9507926893548351,1.012374386273667,0.99720476150843,9.5
96,0.9507301684831921,1.0129684898997309,0.9990496650705745,9.600000000000001
