,Si-Si,Si-Sb,Sb-Sb,r
85,0.9683502327893666,1.0077368193291498,1.011061070619322,8.5
86,0.9698276739620523,1.0078022173731545,1.0124219877941538,8.6
87,0.9662949143440906,1.0090453754230093,1.0123489816127766,8.700000000000001
88,0.9592578290674928,1.0116202020636686,1.0109041293465388,8.8
89,0.9515130105628826,1.0146676263678411,1.008351207062535,8.9
90,0.9465131660303812,1.0169572777169724,1.0049322104494938,9.0
91,0.9468222226914434,1.0178003189879312,1.001085885543381,9.1
92,0.9523619370377124,1.0174602964726878,0.9977010413251347,9.200000000000001
93,0.9601294039726218,1.016775232307986,0.9956391587745422,9.3
94,0.9661843363344135,1.0165018625757942,0.9948288294612272,9.4
95,0.968418466417972,1.0169493903334716,0.9940198778285605,9.5
96,0.9674887996583393,1.0179031912865988,0.9915992229241576,9.600000000000001
