,Li-Li,Li-O,O-O,r
82,1.005996309137354,1.0013668430673586,0.987352796640666,8.200000000000001
83,1.005693996381378,1.004266804983649,0.9846479382959408,8.3
84,1.0042941434648913,1.007308682069425,0.9820424880899152,8.4
85,1.00189747952275,1.0103234455264614,0.9798928626056639,8.5
86,0.9989121541679059,1.0129668368987639,0.9784969262986968,8.6
87,0.9957806488148446,1.014689020568317,0.9781384918476401,8.700000000000001
88,0.9926436947744577,1.0149963680340741,0.978895748348562,8.8
89,0.9892763289593298,1.0137533890275163,0.9803736768608015,8.9
90,0.985374903604496,1.0112282014368423,0.981802012325704,9.0
91,0.980955546169213,1.0079375435098301,0.9825007221221858,9.1
92,0.9764346708152848,1.0044747554186904,0.9822068298955338,9.200000000000001
93,0.972300085941657,1.0013440012577515,0.9809382138702355,9.3
