,Li-Li,Li-Si,Li-Os,Si-Si,Si-Os,Os-Os,r
59,0.9709133884217465,0.9882250935592317,0.986385632469386,0.9688261880198629,0.9657404167929723,0.9665256476692285,5.9
60,0.9657698329747664,0.9847955053325843,0.98571524857354,0.9753872711198018,0.9642323840054597,0.9737469211118178,6.0
61,0.9610667629611972,0.9833297977611843,0.9871638040457854,0.9827877204473188,0.965018257098008,0.9807189275213094,6.1000000000000005
62,0.9582431744444114,0.984805980459582,0.9911107537740083,0.9905161936804542,0.9676798737563129,0.9849101642056581,6.2
63,0.9583640384170874,0.9892688917422976,0.9973125466004649,0.9985602779073812,0.9718838866415731,0.986373083259628,6.300000000000001
64,0.9613974524403099,0.9955265252731998,1.0045277286236063,1.00629094812694,0.9771863071696517,0.9868391055587783,6.4
65,0.9662693267804424,1.0019328997582635,1.0112155365852828,1.0121487265609548,0.9830346012588552,0.9875275260737304,6.5
66,0.9716573290780353,1.00719284882422,1.0167054395687591,1.0148545055535452,0.9889717938150698,0.9882644107130973,6.6000000000000005
67,0.9766914046871861,1.0104869216200172,1.0214939713651097,1.0147373501116712,0.994627647297792,0.9882649588044868,6.7
68,0.9809791416372291,1.0115187025713233,1.026359038224892,1.0134224213716636,0.9995786725370217,0.987045681661562,6.800000000000001
69,0.9843108014851879,1.0109018738652573,1.031312081904095,1.0123637206134966,1.0033780561678312,0.9844557054796271,6.9
70,0.986596472224641,1.0100509103733544,1.0354162975728318,1.0120521618603326,1.005653100959861,0.9804018462425713,7.0
71,0.9878073374016356,1.0100502098155484,1.0375323144471118,1.012284806329865,1.0061142245492252,0.9751244756824871,7.1000000000000005
72,0.9877434187519917,1.010749101264756,1.037176119868676,1.0125084742821298,1.0046718627666815,0.9697036095487537,7.2
73,0.9861097444102416,1.0113589930046167,1.0347632873519332,1.0119700330079455,1.0017293356906065,0.9658654790694279,7.300000000000001
74,0.9830787381703721,1.0115897365186823,1.031298420146855,1.0100149660121487,0.9983010738548437,0.9650192492011732,7.4
75,0.9795416921172517,1.0116631897263724,1.027981550859826,1.0064077195399426,0.9957058877201644,0.9674251389650106,7.5
76,0.9764081997863076,1.0115762941342938,1.0257992122267492,1.0013753751791465,0.9949306716122136,0.9721942147789912,7.6000000000000005
77,0.9736334915270289,1.0110100928316255,1.0249826443955756,0.9955140956747763,0.996039782395322,0.9778110102307395,7.7
78,0.970284173072041,1.0098264605109264,1.0247215831386913,0.9897388320463676,0.9980892005222491,0.9825074446022765,7.800000000000001
79,0.9658445463473946,1.0082436906691348,1.0237123351317252,0.9850385766502696,0.9997506794229072,0.9845668413406995,7.9
80,0.9613044474484453,1.006636481011167,1.0212634456982796,0.9819799783759189,1.00020312306803,0.9830525431250519,8.0
81,0.9585460759677592,1.0053369378153605,1.0178907305364708,0.9805076023333128,0.9995332354395788,0.9785459831144624,8.1
82,0.9585955543448696,1.0044434853705535,1.0148628951926695,0.9803406634956369,0.9983280946815816,0.9728051211516098,8.200000000000001
