,Li-Li,Li-Si,Li-As,Si-Si,Si-As,As-As,r
60,1.0099685114282873,0.9932234855957386,0.9594106624115616,0.9757250046113091,1.0381092626361514,0.8795748015248138,6.0
61,1.0051475789047553,0.9920112937397061,0.9652267879090011,0.970689364782372,1.043772212378142,0.9034989055539,6.1000000000000005
62,0.9987133873104687,0.9913996779872374,0.970228571388583,0.9688012366224708,1.050441268368066,0.9208292898523762,6.2
63,0.9924454451970612,0.9918481364371814,0.9754405684868565,0.9709347194277829,1.0558222497209087,0.9291222243967605,6.300000000000001
64,0.988417293329919,0.9932083891189053,0.9815857334370908,0.9755641131456676,1.058788570306813,0.9334594742813578,6.4
65,0.9874717529982054,0.9951663184297197,0.9884059164403731,0.9799996077652335,1.0605004549900734,0.9414167368312893,6.5
66,0.9887430334042789,0.9974863321583088,0.9950381260846471,0.9823709683946619,1.0632831753229492,0.9553932365437326,6.6000000000000005
67,0.9906929520490131,0.9999555641223447,1.0006249733044905,0.9827131130772131,1.0680095533182064,0.9706947078545366,6.7
68,0.9921775151920118,1.00243605369805,1.0046958734609088,0.982344887505041,1.0730161194224879,0.9806372262792203,6.800000000000001
69,0.9925464077824483,1.0048350737601746,1.007099422902779,0.9823205556878907,1.075587053800554,0.9820084906997838,6.9
70,0.9915097410592344,1.0068364440050939,1.0077021880535033,0.9825441823468177,1.0739669680570325,0.9758492445986084,7.0
71,0.9894096810908732,1.0078952883231511,1.006515526571647,0.9822904671260329,1.0679316578561568,0.964979044364919,7.1000000000000005
72,0.9873062311099319,1.0077345119966683,1.0042773011439388,0.9812860281928305,1.0582442614736056,0.9514220023252724,7.2
73,0.9862817595546469,1.0067535520292554,1.00246216494066,0.979988785523187,1.0464705434481032,0.9351167092066445,7.300000000000001
74,0.9865176881817692,1.0058328076061962,1.0021613238506986,0.9787950202022475,1.0352730530684549,0.9153663088881993,7.4
75,0.9871775213916907,1.0057972246606495,1.0028948352258742,0.9773754715626132,1.027878992022385,0.8949031662105151,7.5
76,0.987224330203156,1.0069461219559177,1.0028689177585868,0.9751377757660444,1.0262286820999844,0.8818781325076493,7.6000000000000005
77,0.9862558438591201,1.0088040874281097,1.000511204441684,0.9721404708370752,1.0294903989502877,0.8857863287275602,7.7
78,0.984583194118681,1.010266641526535,0.995720598359152,0.9691640830946324,1.0347134360583288,0.9103892630936636,7.800000000000001
79,0.9827609894090724,1.0102933227344593,0.9899904260786521,0.9670421925869492,1.0389826231856982,0.9497859209349441,7.9
80,0.98117908889461,1.0087372597983346,0.9857946734112023,0.9663150950473155,1.0408059000584555,0.9905865108650405,8.0
81,0.979919985969633,1.0065242374753023,0.9853724053034729,0.9673795961944035,1.0397374224284721,1.0189752708609547,8.1
82,0.9788786326139057,1.004962460914039,0.9890938081725211,0.9705073714758221,1.0356287768939962,1.0282236382414012,8.200000000000001
83,0.9781532518671624,1.0048191150649242,0.9950015581482694,0.9755729636207285,1.0288663793368822,1.021097050940455,8.3
