,Sr-Sr,Sr-Si,Si-Si,r
86,0.998984106952026,0.9842654993718086,1.0087959758625287,8.6
87,0.9903581900440757,0.9870024052266863,1.0065858562300347,8.700000000000001
88,0.9805508945808734,0.9892990725673505,1.003722965995923,8.8
89,0.971960315075616,0.9912441408752102,1.0006693586049136,8.9
90,0.96579033543989,0.9931534328621497,0.9980681338282086,9.0
91,0.9626542809954624,0.9952998644600589,0.9965179862564726,9.1
92,0.9635462026126187,0.9976475051900334,0.9963073482771396,9.200000000000001
93,0.969478647056636,0.9999315638469038,0.9972388600726966,9.3
94,0.9798639681382983,1.0019464747060152,0.9987329461079847,9.4
95,0.991822228030257,1.003637480596746,1.000135623990399,9.5
96,1.0018418720642208,1.0049987731095824,1.0009450570565526,9.600000000000001
97,1.00820759748908,1.0060372477787023,1.0008851633104578,9.700000000000001
