,Li-Li,Li-C,C-C,r
82,0.995537137254129,0.9968927541134349,1.0047162732699928,8.200000000000001
83,0.9966785481593011,0.9961722133104881,1.004337986294294,8.3
84,0.9980822902753189,0.9951994069660682,1.0047607597274193,8.4
85,0.9993070274093242,0.9938459992935585,1.006120840523557,8.5
86,0.9998827065649524,0.9919619281501869,1.008129633475907,8.6
87,0.9996870843810008,0.989679235805502,1.0101016500509696,8.700000000000001
88,0.9990981067883528,0.9874007045889025,1.0111604442597841,8.8
89,0.9986029174910017,0.9855155809579558,1.010654059833445,8.9
90,0.9982689058823964,0.9842717081942494,1.0084456443477519,9.0
91,0.9977953534865563,0.9838637675687218,1.0048977542189663,9.1
92,0.9970469271774082,0.9844374574189421,1.0006898731094906,9.200000000000001
93,0.9962681419087727,0.9858869302170105,0.996493447704603,9.3
