,Li-Li,Li-Si,Li-Sb,Si-Si,Si-Sb,Sb-Sb,r
60,0.9927080316749809,1.0139540995044491,1.007241132130984,0.9745803547624343,1.006288670900369,1.0002466786795412,6.0
61,0.9856599663073848,1.0091823523818797,1.0067584169096369,0.9706904893708566,1.0040577577524883,1.0020606511958154,6.1000000000000005
62,0.9786436098013619,1.0052787705395154,1.0062881824794918,0.9704154168255134,1.0024629222255106,0.9984117648896654,6.2
63,0.9731765005896255,1.0022879015096249,1.0057287275151567,0.9730666642734376,1.0022475289053605,0.9906668792548057,6.300000000000001
64,0.969647239247066,1.0001560150849251,1.0041893020475179,0.9772609671226413,1.0033899492000107,0.9807461363282558,6.4
65,0.9664722351636772,0.999093418908997,1.001469788286261,0.9815618151813504,1.0049672256227467,0.971349220424488,6.5
66,0.9613914888085477,0.9994242886693224,0.9988393757988326,0.9851093567984438,1.0057807536639054,0.965743725373659,6.6000000000000005
67,0.9535350960914584,1.000918288234582,0.9980480864419202,0.9878653279595444,1.0052033549312025,0.9661600478131765,6.7
68,0.9442259045615159,1.002521659264257,0.9998084378304604,0.9900982732450591,1.003584672467668,0.972406607515313,6.800000000000001
69,0.9361051098737165,1.0031680907056248,1.0034106911686491,0.9916544848456741,1.0020071422788106,0.9817403821941354,6.9
70,0.9316072194037543,1.002753389847505,1.0074541559372443,0.9921185425026953,1.0017113290211606,0.9895449457082689,7.0
71,0.9315898573818089,1.0019286806310206,1.0107056337595726,0.9916204796724069,1.0035003235314512,0.9910733195594514,7.1000000000000005
72,0.9347240456886756,1.0012221626022648,1.012585600516133,0.9909579877219917,1.0070988253272393,0.984597057429115,7.2
73,0.9385613402210041,1.0009171804894905,1.013337454797693,0.990779456511183,1.0108174638316352,0.9736346404233691,7.300000000000001
74,0.9419615001167541,1.0013729153184183,1.0137566316911635,0.9909603165780553,1.0123106251978609,0.965063806098404,7.4
75,0.9464381845453435,1.0025953391596685,1.014479992830549,0.9908929935809248,1.0102568513713337,0.9637699521230931,7.5
76,0.9544941957801762,1.0037742522331128,1.015402194068542,0.9902551333209202,1.0054917890020876,0.968740499232394,7.6000000000000005
77,0.9664723927130092,1.004114236569315,1.0157400016528295,0.9894005383355047,1.0006265547968836,0.9747627578889673,7.7
78,0.9794412221984703,1.0038928111669887,1.014653660721348,0.9889643487155854,0.9985992126091081,0.9781524397007936,7.800000000000001
79,0.9892821527380975,1.0039618710983933,1.0120774087414162,0.9891356903499887,1.0010808449384163,0.9802536075664556,7.9
80,0.9936524253367823,1.0045436599480309,1.009073396562535,0.9894208076705097,1.0074827436714018,0.9845693349953634,8.0
81,0.9930954053541631,1.0051668889552778,1.007136458889216,0.9890647877414087,1.0152555670161916,0.990939726006095,8.1
82,0.989952680822422,1.0054255446168037,1.0069692711459355,0.9876276880249416,1.0214926185583941,0.9941818151217012,8.200000000000001
83,0.9865755683480358,1.0052672269547487,1.0079702659952698,0.9852656294834373,1.024596257883334,0.9891678424385402,8.3
