,Si-Si,Si-Sn,Sn-Sn,r
85,0.9751430970607085,1.005031196482071,1.0295642298570846,8.5
86,0.9755171587276346,1.008323656776039,1.02154177250852,8.6
87,0.9771313811575308,1.0099197944984541,1.0151070943251193,8.700000000000001
88,0.9794112612986213,1.0095149387085274,1.0118415528182094,8.8
89,0.981864876206475,1.0076081369977579,1.0127352397139928,8.9
90,0.9842279230055564,1.0048392211283648,1.0164712877620745,9.0
91,0.986406558299099,1.001907985217098,1.0195390042030126,9.1
92,0.9884222034691755,0.999656802240333,1.018728351932743,9.200000000000001
93,0.990361978500506,0.9987388301870599,1.013315017015662,9.3
94,0.9922373386195728,0.9992006695203471,1.0048076393088143,9.4
95,0.9939016266735574,1.0005100110871301,0.9954449380125818,9.5
96,0.9951877320035599,1.0019505836957727,0.9874448937289322,9.600000000000001
