,Si-Si,Si-P,P-P,r
84,0.9705296078916388,0.9980249907976134,0.9983518967473269,8.4
85,0.9642542775368583,0.9997647610947415,1.0003889234975107,8.5
86,0.9599676005738398,1.002692080343718,1.0020435177076912,8.6
87,0.958280031019217,1.0065329704396775,1.003389474102365,8.700000000000001
88,0.9584306641095782,1.0103679628287212,1.0043712308361048,8.8
89,0.958917050738067,1.0131228285814438,1.0046429853231353,8.9
90,0.9590500963238067,1.0144027126270747,1.0038808382722468,9.0
91,0.9597841305651975,1.0147518662051838,1.0021291650885686,9.1
92,0.962821447548586,1.0149769661864,0.9998068206378606,9.200000000000001
93,0.968630317723214,1.0153112019135533,0.9974610496493244,9.3
94,0.9755095569973382,1.0153508608353936,0.9955074687555636,9.4
95,0.9809000836630963,1.0146627452084778,0.9940494487197064,9.5
