,Li-Li,Li-Si,Li-S,Si-Si,Si-S,S-S,r
59,0.9859817914406894,1.0050665255588969,1.024182327526065,0.9611420107937104,1.0299026758433865,0.9195151849582175,5.9
60,0.9866738813373427,1.0078866604278653,1.0208458042354018,0.9567146695532454,1.0267572790035342,0.9185704277130047,6.0
61,0.9868515575004283,1.012409956801558,1.0152479384520268,0.9495192917554628,1.0223911903365646,0.9191962871655437,6.1000000000000005
62,0.9863774885080159,1.0178403916680283,1.007695472948788,0.9403977636529335,1.0172535832933476,0.9208786359540732,6.2
63,0.9857294933604471,1.022491235168231,0.9998149987605018,0.9320670448706118,1.0128546510672545,0.9239369988340942,6.300000000000001
64,0.9857506379369367,1.024869060527744,0.9932777980556923,0.9274399411336169,1.010835466994773,0.9290731367456134,6.4
65,0.986930600567807,1.0247076053444535,0.9888381556505227,0.9274046418553697,1.011722550295802,0.9362388829744014,6.5
66,0.9889813849392476,1.0228491664135388,0.9864593928733852,0.9302678251914576,1.014509744149294,0.9441808807051754,6.6000000000000005
67,0.9910729245150542,1.020282847588044,0.9858228352059671,0.9335150269202824,1.017631077733864,0.9511853406321457,6.7
68,0.9923723215817056,1.0176160144194515,0.9865021317171543,0.9358214513102888,1.020021106898889,0.9564770960129932,6.800000000000001
69,0.9924394668243672,1.0153316485099353,0.9879713886464082,0.9371511610787503,1.0210514784460623,0.9611150204422606,6.9
70,0.9913512405169045,1.0139814605701292,0.9897121816335784,0.9376477340462539,1.02013242457078,0.9673201150581352,7.0
71,0.989550347058563,1.0139368921027303,0.9912783129553953,0.9371131718436898,1.0170925821226673,0.9763349017276138,7.1000000000000005
72,0.9876677057370404,1.0152849798341186,0.9922336467050609,0.9352155343235188,1.012727610964663,0.986813877025441,7.2
73,0.9865201858699815,1.0180131628163887,0.9922374601587978,0.9318335835424949,1.0084516448174996,0.9957022752340431,7.300000000000001
74,0.9869600697298819,1.0219057234500375,0.9913836202411189,0.9274382237315564,1.005343769442608,1.000898450867404,7.4
75,0.9892547541480865,1.0260967372676613,0.9903564928918398,0.92322633753538,1.0037134643319379,1.0028663601742993,7.5
76,0.9925149270403937,1.0290658368170025,0.9900646043056222,0.9204638381290385,1.0035168700793262,1.003574851353181,7.6000000000000005
77,0.9949915223981357,1.0294771863622565,0.9909915610374839,0.9194009441715975,1.0048056035825415,1.004197398824444,7.7
78,0.9951841357707473,1.0271565802202272,0.9928067158318679,0.919005956286899,1.00751439531178,1.0042619272471385,7.800000000000001
79,0.9928437829410393,1.0232147632361908,0.9946718222254785,0.9180384099839982,1.0110152304687476,1.0029186549930107,7.9
80,0.9891678045618303,1.0192670700865534,0.9959943260884446,0.9162685939949186,1.0143146371991478,1.0003643796752015,8.0
81,0.986063706083328,1.0165807456919125,0.9967797581311497,0.9145772597940109,1.0168097037214017,0.9976049046193396,8.1
82,0.9849106979318655,1.0157161381122761,0.9971872216536571,0.9140484128956641,1.0186897858621826,0.9951963318624096,8.200000000000001
