,Li-Li,Li-Ge,Ge-Ge,r
83,0.999003004510503,1.001991461573751,1.0036459806728213,8.3
84,0.9976509947505432,1.0024657863007644,1.0096600851607513,8.4
85,0.997112914996816,1.002800014081176,1.014777839087011,8.5
86,0.9972369464074653,1.002479710717227,1.018719113756415,8.6
87,0.9973860119935074,1.0017057596736252,1.0206665393518461,8.700000000000001
88,0.997028628282685,1.0010494394052927,1.0198657319902544,8.8
89,0.9960770813639398,1.0008525922168268,1.0157994873252736,8.9
90,0.9948057945896571,1.0010056342668328,1.0088650502348557,9.0
91,0.9936050263591172,1.0011056270974377,1.0011580766780306,9.1
92,0.9927558879885598,1.0007015254778162,0.9954016468449279,9.200000000000001
93,0.9923329527808944,0.9994518947900604,0.9923111972965397,9.3
94,0.9922879407443832,0.9971940157183238,0.9897493540632424,9.4
