,Li-Li,Li-Cr,Cr-Cr,r
82,0.934771291804691,1.0689870388191107,0.8804979183129541,8.200000000000001
83,0.9343420286327158,1.0678038855128555,0.88295588606492,8.3
84,0.934884877275596,1.066700857103511,0.8860979117094968,8.4
85,0.9371309566325848,1.0658896179302795,0.8900895781207461,8.5
86,0.9412493702415957,1.0655521605335994,0.8952018317692837,8.6
87,0.9467815299373961,1.0656949252663261,0.9012567319144047,8.700000000000001
88,0.9529138426588648,1.0662098261163349,0.9076261968062107,8.8
89,0.958800589219254,1.0669533734518695,0.9137936397833959,8.9
90,0.963766900516321,1.0677131345245967,0.919752421248741,9.0
91,0.9674067408908863,1.0681670712706948,0.9257673162685528,9.1
92,0.9696126928568883,1.0679885920213454,0.9318857475125712,9.200000000000001
93,0.9705725975175568,1.066995628881895,0.9377969904660811,9.3
