,Li-Li,Li-Au,Au-Au,r
83,0.9967548592488235,0.9985140548189836,1.0126652416180997,8.3
84,0.9973938511248893,0.9991020578644266,1.0133212620283663,8.4
85,0.9979569650057603,1.0001323681234247,1.013995538082149,8.5
86,0.9978935176010192,1.0009925665457813,1.0146492500034006,8.6
87,0.9974078563206779,1.0015794589923197,1.0144200937129564,8.700000000000001
88,0.9972160697270246,1.002283066591618,1.0120941609358935,8.8
89,0.9977868486587395,1.0033586596822273,1.0070094956603255,8.9
90,0.9988854617382016,1.0045448077434969,0.9999511390840715,9.0
91,0.9998107700503803,1.0053249606073866,0.9929481417517134,9.1
92,0.9999748648291231,1.0053618240368078,0.9878730212280469,9.200000000000001
93,0.999259712298639,1.004584672187087,0.985189019508013,9.3
94,0.9979657940021434,1.0030307301008288,0.9840399400204207,9.4
