,Li-Li,Li-Ge,Ge-Ge,r
83,0.9980178975188223,0.9967833197063894,0.9867193244483505,8.3
84,0.998119629166324,0.9989804883097,0.9940640433351524,8.4
85,0.9977008012911711,1.0004886408481448,1.0013046426665637,8.5
86,0.9970191251645909,1.0008773441845007,1.004930041419194,8.6
87,0.9962704916414222,1.0004876554143565,1.0042300189448037,8.700000000000001
88,0.9954262250712061,1.0000885080427735,1.0001229409810526,8.8
89,0.9945555290725395,1.0001819301049164,0.993318946159404,8.9
90,0.9940230308554183,1.0007705073887203,0.9846144822563027,9.0
91,0.9941493836114801,1.0015988936549873,0.9757960043789591,9.1
92,0.9948454816244324,1.0023873397941467,0.9686209818427061,9.200000000000001
93,0.9956972844816826,1.0029394980412099,0.9629313593961463,9.3
94,0.9962785111545747,1.00317142870816,0.9568101025190081,9.4
