,Si-Si,Si-Hg,Hg-Hg,r
85,0.9135648753789054,1.0417259312303577,0.978411875375902,8.5
86,0.9164683119430443,1.046201535907247,0.9719102908224136,8.6
87,0.9178189127589325,1.050469670348327,0.9663185146492346,8.700000000000001
88,0.9173968446107648,1.0533076204446756,0.9615415280886551,8.8
89,0.9155434468657311,1.05387500660738,0.9574792666867956,8.9
90,0.9130882717347785,1.0523843096071384,0.9546683156537193,9.0
91,0.9108360256931828,1.0499514294137375,0.9541676084267541,9.1
92,0.9090724776413741,1.0476505850161144,0.9566375238544634,9.200000000000001
93,0.9076600214286666,1.0458174566552574,0.9613553032981988,9.3
94,0.9065518441802273,1.0442827318367274,0.9663744999888595,9.4
95,0.9060447467934928,1.0429592714709501,0.9699950584318289,9.5
