,Li-Li,Li-Si,Li-P,Si-Si,Si-P,P-P,r
60,0.9898964289175354,0.995616580656096,0.9907063016187397,1.0118149380743833,1.0088742071776409,0.9370620007289587,6.0
61,0.9855399002258846,0.9949911330722226,0.9948953523408404,1.0087232478411825,1.0055787943832375,0.941365077100551,6.1000000000000005
62,0.9819934477639221,0.9951866907778278,0.9990113930663921,1.002465273209261,1.001597415175402,0.9462163745880732,6.2
63,0.9798488323770794,0.9955944516196248,1.0013846044636443,0.9944891714681481,0.9985112235791486,0.9500408660688554,6.300000000000001
64,0.9792052716410362,0.9958879648734531,1.0009171954728737,0.9875459869149817,0.9968565149768421,0.9543368114133728,6.4
65,0.9800960692506507,0.9961916374673156,0.9977776955652276,0.9839960767858513,0.995863986944884,0.9626117152633592,6.5
66,0.9826792545918174,0.9965267557765448,0.9933290547398436,0.9847231246634404,0.9948429520194848,0.9768588300845595,6.6000000000000005
67,0.987024309913196,0.9962699781562238,0.989475797834136,0.9891714859206797,0.9943390076765755,0.9954265428735097,6.7
68,0.9925720281072838,0.9946745543999552,0.9877141074834586,0.9957353097111997,0.9953716024835264,1.0142696211717082,6.800000000000001
69,0.9977002017508518,0.9920111421356619,0.9882053190121718,1.0021048963903083,0.9977885419710366,1.0294947170466966,6.9
70,1.0001636318444407,0.9897703827264711,0.989605897155671,1.0060173331019757,1.0000785591778445,1.0384591187117622,7.0
71,0.9984744507521521,0.9894705113701967,0.9902191545464654,1.006391733775069,1.0007973999102244,1.0396031753387576,7.1000000000000005
72,0.9929424047121663,0.9914037609053834,0.989671541763078,1.0039002161122466,0.9996748810803883,1.032887415741192,7.2
73,0.9854174659772347,0.994637939895,0.9891868500253425,1.0003919715834324,0.9974138283489048,1.020833858235551,7.300000000000001
74,0.9783993429946422,0.9980080561534165,0.989914275714471,0.9977438959534901,0.9949521132709662,1.0081844781916987,7.4
75,0.9743169164790585,1.0008499137829845,0.9915329799555775,0.9970091732878426,0.9930555454200638,0.9994013580530956,7.5
76,0.9745664890509771,1.0030189411469561,0.9929999466441736,0.9981863012589615,0.9922124040480916,0.9960570703595577,7.6000000000000005
77,0.9783634973634483,1.0046961990614212,0.9941564782399686,1.0004675148258813,0.9925739319426,0.9965161246559064,7.7
78,0.9829846010397013,1.0061694071753868,0.9960069174230023,1.0026864052470041,0.9939822492577013,0.9978941529712654,7.800000000000001
79,0.9858604856045337,1.0074223612507023,0.9996280673236998,1.003821639424839,0.9961510516550713,0.9981037434393317,7.9
80,0.9862903174918224,1.007945197370175,1.0051198683085911,1.0035472400035852,0.9988694204389587,0.9963677809446734,8.0
81,0.9850031270358662,1.0072404666068422,1.011425490108055,1.0024752867912388,1.0019672550056442,0.9926826884725739,8.1
82,0.982622409714847,1.005521821798059,1.016852168107458,1.0015853223593942,1.0049608396707688,0.9873867446597069,8.200000000000001
83,0.9790783683781374,1.0037344187667234,1.019871997974803,1.0011099357278688,1.006816126042347,0.9811391215562756,8.3
