,Li-Li,Li-Au,Au-Au,r
83,0.9986408444537186,0.995276148768762,0.9697630672599797,8.3
84,0.999264965333953,0.9984220906159074,0.9713086711501535,8.4
85,0.99969929418856,1.0008452244161528,0.973012462046583,8.5
86,0.9994268471972667,1.0023948142200745,0.9729873724019664,8.6
87,0.9982072161097252,1.0030955767175413,0.9702140215053483,8.700000000000001
88,0.9961330875697221,1.002859753868239,0.9659044546095489,8.8
89,0.993637266839225,1.0015975647686075,0.9630254807542131,8.9
90,0.9913838141887993,0.9994850604110038,0.9641184926151857,9.0
91,0.9900180442018236,0.997041627224512,0.9694375355510318,9.1
92,0.9899105307316148,0.9949686825934793,0.9770335558946813,9.200000000000001
93,0.9909841190590151,0.9938616591447906,0.9844463165370482,9.3
94,0.9927218457652799,0.993948007666648,0.9902379860723867,9.4
95,0.9944712982412157,0.9950523007388711,0.9940175702261309,9.5
