,Li-Li,Li-As,As-As,r
83,1.0000097722832046,1.0051587348294397,1.0310234368455824,8.3
84,0.9987104396252096,1.003775688872218,1.026929629476927,8.4
85,0.9978507513193818,1.0024235329454918,1.019718445632773,8.5
86,0.9976233979702143,1.0014184476168655,1.010368714367457,8.6
87,0.9979032637934785,1.000783890844828,1.001996114849583,8.700000000000001
88,0.9983644138356812,1.000412617076135,0.9977321199909993,8.8
89,0.998655972414473,1.000286342961566,0.9984969966928039,8.9
90,0.9986372579754444,1.0004945765157875,1.0028814263095092,9.0
91,0.9984470311318082,1.0009730445506133,1.008506380054183,9.1
92,0.9982813576054637,1.0012857464713276,1.012937392433724,9.200000000000001
93,0.9981793916414097,1.0008480022958186,1.0139747056757769,9.3
94,0.9980671392820785,0.9994315868433435,1.0104808328214236,9.4
95,0.9978458009698629,0.9973120333907265,1.0036186335971686,9.5
