,Si-Si,Si-Rh,Rh-Rh,r
84,0.996603779346584,0.9878663708470994,0.9741966600114905,8.4
85,0.9990252522310824,0.9852086003162103,0.9725068114474333,8.5
86,0.9995036297908971,0.9836897440201889,0.973413071843773,8.6
87,0.9992486956164235,0.9829051949370743,0.9766601453821327,8.700000000000001
88,0.9996704499683224,0.9825898614904301,0.9815300665659358,8.8
89,1.0013481865960765,0.9827386034369537,0.9872256003867484,8.9
90,1.0037045095854713,0.9836692450012566,0.9930428215313646,9.0
91,1.005587018800597,0.9858585384682158,0.9984948017872118,9.1
92,1.0061239384390877,0.9895058416610139,1.0034963569945972,9.200000000000001
93,1.0051513368890443,0.9941916974981554,1.0083000713869585,9.3
94,1.0031687920825214,0.999067285019079,1.0131011885618677,9.4
95,1.0010406681274389,1.0035256381716353,1.017694465696947,9.5
