,Si-Si,Si-Te,Te-Te,r
85,0.9462095156882888,0.9986847123931211,0.9947887401247714,8.5
86,0.9447340765628227,0.9960651300908523,0.9969422561977266,8.6
87,0.9434696893498022,0.994821438561866,1.0015082413009817,8.700000000000001
88,0.9427648218632122,0.9947759014552151,1.006715093510714,8.8
89,0.9430080890126515,0.9948882450413401,1.0102202608742177,8.9
90,0.9445681855400457,0.9942161070200505,1.0109095144856997,9.0
91,0.9475890582977514,0.992634648826879,1.0093622584174238,9.1
92,0.9515955931904373,0.9908552543131125,1.0067339858829352,9.200000000000001
93,0.9554657897276655,0.9897186588995269,1.0036694728487003,9.3
94,0.9581868481662928,0.9894204523190326,1.0004005956940696,9.4
95,0.9597283063031931,0.9894986440390617,0.9973908836841668,9.5
96,0.9609562392433524,0.9895424263246975,0.9954292246384837,9.600000000000001
