,Li-Li,Li-W,W-W,r
83,0.8615267747112701,1.0641555117650017,0.9522100769195493,8.3
84,0.8585664483031563,1.06034679741921,0.9435722281763246,8.4
85,0.8567289027955477,1.05733537880624,0.9365361002876055,8.5
86,0.8563523261573772,1.0552520309740439,0.9309964212202569,8.6
87,0.8573240821504085,1.0541044406348885,0.926933472049524,8.700000000000001
88,0.8591231755510469,1.0537365944369184,0.9245671818013185,8.8
89,0.8609387885076424,1.0539161268401436,0.9244084963688162,8.9
90,0.8621991217007107,1.0544380898957209,0.9270713233116463,9.0
91,0.8632080898080706,1.0551841934858395,0.9328761737976,9.1
92,0.8650765282403381,1.0561296474866926,0.9414936164728005,9.200000000000001
93,0.8689636610035646,1.0572991963768543,0.9519576111095271,9.3
94,0.8754032990480601,1.0587188217762569,0.9631180602763438,9.4
