,Zr-Zr,Zr-Si,Si-Si,r
85,1.0137304912590228,1.007975710873453,0.9986295956772384,8.5
86,1.0170422786305158,1.002103564664398,0.9986387098793043,8.6
87,1.01444992961515,0.9965706801896702,0.9987105989125905,8.700000000000001
88,1.0073461597173723,0.9914910132174121,0.9984763999724229,8.8
89,0.998149674543683,0.9869694406405484,0.9976502455883856,8.9
90,0.9898415317566026,0.9832431458613242,0.9962396023923257,9.0
91,0.9850322792477106,0.9804733970982988,0.9945986538022107,9.1
92,0.9847658599783574,0.9786338768805003,0.9931847383220688,9.200000000000001
93,0.988187522925,0.9777318775481973,0.9922815379168903,9.3
94,0.9933967551986824,0.9780584781480277,0.9919263822088801,9.4
95,0.9986461130608317,0.9800333578211016,0.9920013176415833,9.5
96,1.0031263287405054,0.9836761326637365,0.9923903474013174,9.600000000000001
