,Fe-Fe,Fe-Si,Si-Si,r
84,0.9720024482406163,0.9952835055069109,0.9969744244089889,8.4
85,0.9692524238483391,0.9934173659827846,0.9988560979578746,8.5
86,0.9684934593936992,0.991197272104236,1.0004426287206003,8.6
87,0.9691414314540524,0.9890324340166119,1.000946957757258,8.700000000000001
88,0.9703334633135763,0.9877476774727812,1.000165664333807,8.8
89,0.9710403421043555,0.9881079308937457,0.9984812924637718,8.9
90,0.9707580468420126,0.9900930356134792,0.9965752915746394,9.0
91,0.9702018272935807,0.9927578412919768,0.9951449476362123,9.1
92,0.9708253227916596,0.9949868818113922,0.9948115549232709,9.200000000000001
93,0.9733678086738312,0.9964418344304988,0.9960440692172212,9.3
94,0.9771837552987976,0.9977905061721105,0.998896923672258,9.4
95,0.9810870325404469,1.000112811212514,1.0027874544690285,9.5
