,Li-Li,Li-P,P-P,r
82,0.9845919509862202,0.998145986937264,0.9964438616831953,8.200000000000001
83,0.9830842481804546,0.9986802253229771,0.99605079905185,8.3
84,0.9829978739066202,0.9991718820019989,0.9948616309918404,8.4
85,0.9839685023990454,0.9994911201753733,0.9933281514455663,8.5
86,0.9852751224893738,0.9997666668979452,0.9919779603672025,8.6
87,0.986516581116581,1.000113158287577,0.9911094954669456,8.700000000000001
88,0.9876794910747969,1.0005478375734804,0.9907825885573326,8.8
89,0.9887175362094718,1.001048157101259,0.9909911304955107,8.9
90,0.9893138924973558,1.001605531042141,0.9918234237351542,9.0
91,0.9891181191421532,1.0022672982088714,0.9934239667973526,9.1
92,0.9880896031902764,1.0030971094667573,0.9957049536771793,9.200000000000001
93,0.9865463669192569,1.0040161872643514,0.9981302023041362,9.3
