,Si-Si,Si-N,N-N,r
83,0.9815633826918755,1.0149719561345167,1.0005020241352693,8.3
84,0.9830682845863297,1.0130354362766154,1.001420028934274,8.4
85,0.9846897617336435,1.0093144978799735,1.002576999709426,8.5
86,0.9868698731455844,1.0043825363013716,1.0038253703453883,8.6
87,0.9894928308294674,0.9990918987204611,1.004530289207217,8.700000000000001
88,0.9925962661589378,0.9944450898144639,1.0042031033569414,8.8
89,0.9965532747128939,0.9910936418746998,1.003059997466127,8.9
90,1.0012939555327305,0.988897731937431,1.0018988336675125,9.0
91,1.0058419804857657,0.9871384225489306,1.0012654123084586,9.1
92,1.008864908768737,0.9851520228914108,1.0006282187246236,9.200000000000001
93,1.009587941208211,0.982830040972496,0.9985592462043872,9.3
94,1.0082322849590755,0.9808004292134948,0.9940149402254772,9.4
