,Li-Li,Li-Bi,Bi-Bi,r
84,0.9854617440412725,1.0144752831521968,0.9263022964507626,8.4
85,0.9890427060249755,1.0135092601249358,0.9245378984068716,8.5
86,0.9926663168220545,1.0112858756306806,0.9294336551850143,8.6
87,0.9956375018587851,1.0080498129377267,0.9387890018100583,8.700000000000001
88,0.997648951949885,1.0046290323377212,0.9511013505654501,8.8
89,0.9989995765509819,1.0018741764516519,0.9673049547785747,8.9
90,1.0003047297365018,0.9999960363751853,0.9879239618906133,9.0
91,1.0018385279403395,0.998577556071317,1.0099268749012644,9.1
92,1.003231766385307,0.9971901820738112,1.0276379216988774,9.200000000000001
93,1.0038466897467249,0.9959037512574188,1.036415377625408,9.3
94,1.003324278919871,0.995193988065014,1.0353944224011116,9.4
95,1.001742978226787,0.9954227333226254,1.0277121054519969,9.5
