,Li-Li,Li-Zn,Li-Si,Zn-Zn,Zn-Si,Si-Si,r
59,0.9772636417279041,1.0064008343902486,1.0027052076224432,0.9631876535740478,1.0059049596597542,0.974123700349641,5.9
60,0.97100268734069,1.0085363573886983,1.0013138964700852,0.9654656357040516,1.0087916077415118,0.9738207080751778,6.0
61,0.9689334573681475,1.0113306670125224,1.001375379615076,0.967817275004724,1.0130075213114318,0.9745098488390285,6.1000000000000005
62,0.9721300333738071,1.0129684762571212,1.0027316205505163,0.9724887187763028,1.0167083476179195,0.9758132474610476,6.2
63,0.978346636923903,1.0126155243681658,1.0043223203177247,0.978465283422919,1.0181688666675002,0.9771008101465295,6.300000000000001
64,0.9828199964801709,1.0106723499280166,1.0051249972001555,0.9835961620414126,1.0168345780317782,0.9778381226574563,6.4
65,0.982003414509026,1.0081217645193215,1.0052446263774033,0.9868811105973724,1.013537597541069,0.9779486571051135,6.5
66,0.9765696606861222,1.005814497710001,1.0057333099806074,0.9886670566196023,1.0097356553763472,0.9779514971171319,6.6000000000000005
67,0.9704562941098341,1.0041525594318776,1.0073219679679792,0.9897444838382544,1.006481173521082,0.9786050638292724,6.7
68,0.9673162019716626,1.0031480445826508,1.0096383455742801,0.9908686655677837,1.0040146122059224,0.9802433561351913,6.800000000000001
69,0.9681078172461207,1.002762784526506,1.0116017855293344,0.9924836979854694,1.002172509794355,0.9825025934367271,6.9
70,0.9713971417246597,1.0031293963403156,1.0122487201947379,0.994098206530773,1.0009421820448157,0.9847005955871888,7.0
71,0.9750904524243882,1.0041867734316086,1.0113108003460756,0.9942280276275436,1.0005169781335248,0.9863081944430705,7.1000000000000005
72,0.9776707937222406,1.0052675828891735,1.0093767642390876,0.9917940494506919,1.0009940054422872,0.9870377174938997,7.2
73,0.9782881649491487,1.005502395140787,1.0074748859422722,0.9875655888081866,1.002212123832564,0.9868093482854289,7.300000000000001
74,0.9766061669839843,1.0047096862829323,1.006356754346206,0.9835286297736049,1.00374867993124,0.9858349975116891,7.4
75,0.973275328537895,1.0036025375731608,1.0062276440214861,0.9807465613355205,1.0049528736185653,0.98455880781228,7.5
76,0.9701280519590941,1.0030054288536703,1.0069810229827936,0.9785867394423174,1.0052453610511167,0.983376665707925,7.6000000000000005
77,0.9689292292501044,1.0030282528262189,1.0083504213818821,0.9763459388259829,1.0047218825242437,0.9825403850661655,7.7
78,0.9699050985935374,1.0031824713273692,1.0099544300505678,0.9748369743353474,1.0043753765586498,0.9823522786051513,7.800000000000001
79,0.972006367585938,1.003166110471142,1.0115013253538836,0.9756275899254204,1.005319687047871,0.9831288278899182,7.9
80,0.9741438123874524,1.0031815891091262,1.0128600750636956,0.9791012874647714,1.0076252060865036,0.9847668193986013,8.0
81,0.9755392915851874,1.0034386021731234,1.0137792920031643,0.9839407717685102,1.0101558136231268,0.9865952145300908,8.1
82,0.9755494157532247,1.003687316703272,1.0137435743711456,0.9882944598115387,1.0117610210701273,0.9878738074426798,8.200000000000001
