,Si-Si,Si-Ag,Ag-Ag,r
85,0.9910260637576325,1.0113566374994212,0.9487422694541313,8.5
86,0.9891898222044262,1.0132125324256263,0.9412247550741881,8.6
87,0.988564635555287,1.0136086208734851,0.941649414973714,8.700000000000001
88,0.9894035585329173,1.0129448847309341,0.9473852742941117,8.8
89,0.9914596465541746,1.0121090534633945,0.955919640346502,8.9
90,0.9940004110927798,1.0117918059920177,0.9657426637704326,9.0
91,0.9962111257994624,1.0121636151250208,0.9746473088843399,9.1
92,0.9976546658949337,1.012956666217379,0.9787873710991839,9.200000000000001
93,0.9983245847796759,1.013762278844047,0.9747782364385876,9.3
94,0.9983860271300387,1.0143783227689003,0.9629765337315267,9.4
95,0.9980291409141635,1.014929170481056,0.9480552477460105,9.5
96,0.9974427168110692,1.0156261155197797,0.9357283650769047,9.600000000000001
