,Li-Li,Li-Ru,Ru-Ru,r
83,0.9733834676358503,0.9985180530666894,0.9847191528734863,8.3
84,0.969591842253852,0.9981553955991412,0.9808402416432187,8.4
85,0.9681857688603216,0.9979327978183641,0.976856724425305,8.5
86,0.9682817409507133,0.9981713357371526,0.9733703815698701,8.6
87,0.968878382058023,0.9994738540425737,0.9711323600035353,8.700000000000001
88,0.9697021117880604,1.0021149689506907,0.9706802022442053,8.8
89,0.9710102853954882,1.0056967238995942,0.9721750168597527,8.9
90,0.972918854103279,1.0094489358839627,0.9755256501670764,9.0
91,0.9752936334459138,1.0128171028958322,0.980591535387816,9.1
92,0.9779502627796539,1.0157840365635502,0.9871691989572758,9.200000000000001
93,0.98042860844534,1.018710840157324,0.994779064819071,9.3
94,0.9818014987811539,1.021861471067602,1.002559945277624,9.4
