,Li-Li,Li-Ti,Ti-Ti,r
82,0.8745037165376024,1.0723266518802366,0.9716360548970966,8.200000000000001
83,0.8770906179748572,1.0720435218316078,0.9664771293347627,8.3
84,0.8780264605267758,1.0712784963497362,0.9605973454215466,8.4
85,0.87625415752415,1.0699555684997912,0.9548720931727114,8.5
86,0.872894700458126,1.0684946527391868,0.9497188902717757,8.6
87,0.8702553501189164,1.067364129080078,0.945259522431623,8.700000000000001
88,0.8697722319650895,1.066691468791434,0.9417764075436971,8.8
89,0.8710012657188961,1.0662657810542833,0.9398170891355447,8.9
90,0.8726901211306188,1.0658077354104296,0.9397915891823485,9.0
91,0.8745072782742807,1.0651866943662347,0.9415376125799874,9.1
92,0.877193837738165,1.0644964019158527,0.9443606964709701,9.200000000000001
93,0.8811104634652717,1.0640429145459964,0.9475583568873402,9.3
