"Unnamed: 0" formula diff_coeff_mul_thousand temperature AAV LBI SDLI SBI ENS RBI AFC AASD VPA LASD LLSD LNC SDLC LLB SNC RNC PF SPF SLPW SLPW_pp SLPE Li_percentage avg_B_with_Li avg_B_wiout_Li avg_G_with_Li avg_G_wiout_Li avg_Ecoh_with_Li avg_Echo_wiout_Li BR5_M_with_Li BR5_M_without_Li GR5_M_with_Li GR5_M_without_Li ER2_m_with_Li ER2_m_without_Li atomic_radius_avg atomic_radius_avg_exclude_Li ratio_r_without_Li_with avg_m_with_Li avg_m_wiout_Li avg_X_with_Li avg_X_wiout_Li avg_diff_of_X_Li_rest
20 KLi8Si 0.9142694 1500 22.4131137785 0.1152085561 0.2867031992 0.5841121495 1.36 0.1972370481 2.5 4.2363914099 224.131137785 3.1520959714 2.4975052553 11.7 1.5198684154 9.4 10.7 1.0934579439 0.4954509095 0.1819012673 0.3870552042 1.700022598 1.0535 0.8 19.900000000000002 43.500000000000014 9.3 30.50000000000001 1.8303211555000003 2.725241737500001 3.451032473489181 3.9795796796427148 2.359195776198512 3.3322877440990673 0.5754488875689551 0.46996896060175586 1.49 1.6500000000000008 1.107382550335571 12.271180000000001 33.59190000000001 1.056 1.3600000000000003 0.30400000000000027
21 KLi8Si 1.5851671 2000 23.0449638701 0.1186295503 0.290302063 0.5902304147 1.36 0.2009885417 2.1 4.2641142542 230.4496387006 3.1283886751 2.3974518504 11.6875 1.7577951388000002 9.325 10.85 1.0771889401 0.4818665661 0.1769138726 0.0060224656 1.3232519743 0.9885 0.8 19.900000000000002 43.500000000000014 9.3 30.50000000000001 1.8303211555000003 2.725241737500001 3.451032473489181 3.9795796796427148 2.359195776198512 3.3322877440990673 0.5754488875689551 0.46996896060175586 1.49 1.6500000000000008 1.107382550335571 12.271180000000001 33.59190000000001 1.056 1.3600000000000003 0.30400000000000027
22 KLi8Si 2.243962 2500 24.2023443232 0.1131363636 0.2842504967 0.5968472906 1.36 0.1895566344 2.4 4.5333867478 242.0234432323 3.2306311865 2.4619509947 11.0125 1.7138680667 8.875 10.15 1.0849753695 0.4588232221 0.1684536732 0.1282382519 1.4926863088 1.086 0.8 19.900000000000002 43.500000000000014 9.3 30.50000000000001 1.8303211555000003 2.725241737500001 3.451032473489181 3.9795796796427148 2.359195776198512 3.3322877440990673 0.5754488875689551 0.46996896060175586 1.49 1.6500000000000008 1.107382550335571 12.271180000000001 33.59190000000001 1.056 1.3600000000000003 0.30400000000000027
23 Li(Si2W)3 0.091347 1500 15.8934608141 0.9797402597 0.3476066648 0.2930618182 2.0533333333 3.3431180691 3.9666666667 3.1037581839 52.9782027136 2.8098834724 3.3542091407 15.5 1.2845232579 1.2 15.2777777778 1.0145454545 0.6076909455 0.5524195993000001 0.4089445724 1.6610250104 2.176 0.1 142.4 156.66666666666666 81.1 89.66666666666666 5.409081683 5.831580646666667 2.254026310303597 2.1315773734996344 1.7010395587871334 1.6126061533186797 0.33005605226670803 0.31948119151726434 1.21 1.1833333333333333 0.977961432506887 72.6974 80.00366666666666 1.946 2.0533333333333332 0.10733333333333328
24 Li(Si2W)3 0.2243666 2000 16.2990260504 0.9264788732 0.4012199929 0.2910854503 2.0533333333 3.182841575 3.9 3.1387222279 54.3300868347 2.7893514214 2.7784386402 14.3 1.7349351573 1.8 14.4333333333 0.9907621247 0.5925698996000001 0.5386738586 -0.2238174789 1.1328980165 2.222 0.1 142.4 156.66666666666666 81.1 89.66666666666666 5.409081683 5.831580646666667 2.254026310303597 2.1315773734996344 1.7010395587871334 1.6126061533186797 0.33005605226670803 0.31948119151726434 1.21 1.1833333333333333 0.977961432506887 72.6974 80.00366666666666 1.946 2.0533333333333332 0.10733333333333328
25 Li(Si2W)3 0.4773505 2500 16.7280260381 0.9230872483 0.3898499964 0.2965606061 2.0533333333 3.1126428442 3.8666666667 2.9722551332 55.7600867936 3.0179131888 2.8864889039 15.0 1.5491933385 1.8 14.6666666667 1.0227272727 0.5773730988 0.5248592532 -0.0799373096 1.0831336464 2.038 0.1 142.4 156.66666666666666 81.1 89.66666666666666 5.409081683 5.831580646666667 2.254026310303597 2.1315773734996344 1.7010395587871334 1.6126061533186797 0.33005605226670803 0.31948119151726434 1.21 1.1833333333333333 0.977961432506887 72.6974 80.00366666666666 1.946 2.0533333333333332 0.10733333333333328
26 Li(SiSe2)3 0.1314238 1000 29.078067344 1.2718681319 0.5152981742 0.3872488038 2.3333333333 3.2843694268 2.4 3.1357987478 96.9268911466 3.3072763729 3.5796695239 9.2 1.4 1.0 9.2888888889 0.990430622 0.2386680785 0.2084579217 0.3613922692 1.5523922692 2.485 0.1 31.699999999999996 33.666666666666664 22.299999999999997 24.333333333333332 3.1714640895000006 3.3453388761111116 1.097328238203698 1.0076087951017754 0.9203634337461473 0.8566288423581768 0.2760246928419113 0.26325428891012803 1.165 1.1333333333333333 0.9728183118741058 56.49575 62.00183333333334 2.1979999999999995 2.333333333333333 0.13533333333333353
27 Li(SiSe2)3 0.566443 1500 30.7308653122 1.3691139241 0.3636368844 0.3943222506 2.3333333333 3.472068649 2.4333333333 3.2876375046 102.4362177073 3.3780805422 4.4889104846 8.0 1.5491933385 0.2 8.6888888889 0.9207161125 0.2258317945 0.1972464304 0.1280519975 1.327418438 2.55 0.1 31.699999999999996 33.666666666666664 22.299999999999997 24.333333333333332 3.1714640895000006 3.3453388761111116 1.097328238203698 1.0076087951017754 0.9203634337461473 0.8566288423581768 0.2760246928419113 0.26325428891012803 1.165 1.1333333333333333 0.9728183118741058 56.49575 62.00183333333334 2.1979999999999995 2.333333333333333 0.13533333333333353
28 Li(SiSe2)3 1.5973344 2000 29.6535610592 1.3375949367 0.417791106 0.4147279793 2.3333333333 3.225234379 2.0 3.1064175605 98.8452035307 3.2027777579 4.3509852198 8.0 1.8973665961 0.4 8.5777777778 0.932642487 0.2340361904 0.2044123292 0.1557478502 1.3467478502 2.485 0.1 31.699999999999996 33.666666666666664 22.299999999999997 24.333333333333332 3.1714640895000006 3.3453388761111116 1.097328238203698 1.0076087951017754 0.9203634337461473 0.8566288423581768 0.2760246928419113 0.26325428891012803 1.165 1.1333333333333333 0.9728183118741058 56.49575 62.00183333333334 2.1979999999999995 2.333333333333333 0.13533333333333353
29 Li(SiSe2)3 2.369778 2500 29.9729427259 1.307804878 0.4589244913 0.4342112483 2.3333333333 3.0119092566 2.4666666667 3.3120468715 99.9098090864 3.2259567362 4.1137760367 8.3 1.268857754 0.6000000000000001 8.1 1.024691358 0.2315423789 0.2022341797 0.1627358585 1.3537358585 2.485 0.1 31.699999999999996 33.666666666666664 22.299999999999997 24.333333333333332 3.1714640895000006 3.3453388761111116 1.097328238203698 1.0076087951017754 0.9203634337461473 0.8566288423581768 0.2760246928419113 0.26325428891012803 1.165 1.1333333333333333 0.9728183118741058 56.49575 62.00183333333334 2.1979999999999995 2.333333333333333 0.13533333333333353
