formula lnD PF RNC SBI SDLC RBI ENS SDLI SLPE LLB avg_diff_of_X_Li_rest ratio_r_without_Li_with SPF LNC AFC Li_percentage LBI avg_X_with_Li SNC avg_B_wiout_Li avg_G_wiout_Li avg_B_with_Li avg_X_wiout_Li avg_G_with_Li avg_Ecoh_with_Li avg_Echo_wiout_Li avg_m_wiout_Li avg_m_with_Li BR5_M_without_Li GR5_M_without_Li GR5_M_with_Li BR5_M_with_Li ER2_m_without_Li ER2_m_with_Li atomic_radius_avg_exclude_Li LASD SLPW LLSD atomic_radius_avg AASD SLPW_pp VPA AAV inverseTemp
KLi8Si -6.997385281581026 0.4954509095 1.0934579439 0.5841121495 1.5198684154 0.1972370481 1.36 0.2867031992 1.0535 9.4 0.3040000000000002 1.107382550335571 0.1819012673 11.7 2.5 0.8 0.1152085561 1.056 10.7 43.500000000000014 30.50000000000001 19.9 1.3600000000000003 9.3 1.8303211555000003 2.725241737500001 33.59190000000001 12.27118 3.9795796796427143 3.3322877440990677 2.359195776198512 3.451032473489181 0.4699689606017558 0.5754488875689551 1.6500000000000008 3.1520959714 0.3870552042 2.4975052553 1.49 4.2363914099 1.700022598 224.131137785 22.4131137785 0.6666666666666666
KLi8Si -6.447065451342302 0.4818665661 1.0771889401 0.5902304147 1.7577951388000002 0.2009885417 1.36 0.290302063 0.9885 9.325 0.3040000000000002 1.107382550335571 0.1769138726 11.6875 2.1 0.8 0.1186295503 1.056 10.85 43.500000000000014 30.50000000000001 19.9 1.3600000000000003 9.3 1.8303211555000003 2.725241737500001 33.59190000000001 12.27118 3.9795796796427143 3.3322877440990677 2.359195776198512 3.451032473489181 0.4699689606017558 0.5754488875689551 1.6500000000000008 3.1283886751 0.0060224656 2.3974518504 1.49 4.2641142542 1.3232519743 230.4496387006 23.0449638701 0.5
KLi8Si -6.099512225511416 0.4588232221 1.0849753695 0.5968472906 1.7138680667 0.1895566344 1.36 0.2842504967 1.086 8.875 0.3040000000000002 1.107382550335571 0.1684536732 11.0125 2.4 0.8 0.1131363636 1.056 10.15 43.500000000000014 30.50000000000001 19.9 1.3600000000000003 9.3 1.8303211555000003 2.725241737500001 33.59190000000001 12.27118 3.9795796796427143 3.3322877440990677 2.359195776198512 3.451032473489181 0.4699689606017558 0.5754488875689551 1.6500000000000008 3.2306311865 0.1282382519 2.4619509947 1.49 4.5333867478 1.4926863088 242.0234432323 24.2023443232 0.4
Li(Si2W)3 -9.300845116402023 0.6076909455 1.0145454545 0.2930618182 1.2845232579 3.3431180691 2.0533333333 0.3476066648 2.176 1.2 0.1073333333333332 0.977961432506887 0.5524195993000001 15.5 3.9666666667 0.1 0.9797402597 1.946 15.2777777778 156.66666666666666 89.66666666666666 142.4 2.053333333333333 81.1 5.409081683 5.831580646666667 80.00366666666666 72.6974 2.1315773734996344 1.6126061533186795 1.7010395587871334 2.254026310303597 0.3194811915172643 0.330056052266708 1.1833333333333331 2.8098834724 0.4089445724 3.3542091407 1.21 3.1037581839 1.6610250104 52.9782027136 15.8934608141 0.6666666666666666
Li(Si2W)3 -8.40222923674843 0.5925698996000001 0.9907621247 0.2910854503 1.7349351573 3.182841575 2.0533333333 0.4012199929 2.222 1.8 0.1073333333333332 0.977961432506887 0.5386738586 14.3 3.9 0.1 0.9264788732 1.946 14.4333333333 156.66666666666666 89.66666666666666 142.4 2.053333333333333 81.1 5.409081683 5.831580646666667 80.00366666666666 72.6974 2.1315773734996344 1.6126061533186795 1.7010395587871334 2.254026310303597 0.3194811915172643 0.330056052266708 1.1833333333333331 2.7893514214 -0.2238174789 2.7784386402 1.21 3.1387222279 1.1328980165 54.3300868347 16.2990260504 0.5
Li(Si2W)3 -7.64725953607132 0.5773730988 1.0227272727 0.2965606061 1.5491933385 3.1126428442 2.0533333333 0.3898499964 2.038 1.8 0.1073333333333332 0.977961432506887 0.5248592532 15.0 3.8666666667 0.1 0.9230872483 1.946 14.6666666667 156.66666666666666 89.66666666666666 142.4 2.053333333333333 81.1 5.409081683 5.831580646666667 80.00366666666666 72.6974 2.1315773734996344 1.6126061533186795 1.7010395587871334 2.254026310303597 0.3194811915172643 0.330056052266708 1.1833333333333331 3.0179131888 -0.0799373096 2.8864889039 1.21 2.9722551332 1.0831336464 55.7600867936 16.7280260381 0.4
Li(SiSe2)3 -8.937083341983346 0.2386680785 0.990430622 0.3872488038 1.4 3.2843694268 2.3333333333 0.5152981742 2.485 1.0 0.1353333333333335 0.9728183118741058 0.2084579217 9.2 2.4 0.1 1.2718681319 2.1979999999999995 9.2888888889 33.666666666666664 24.33333333333333 31.7 2.333333333333333 22.3 3.1714640895000006 3.345338876111112 62.00183333333334 56.49575 1.0076087951017754 0.8566288423581768 0.9203634337461472 1.097328238203698 0.263254288910128 0.2760246928419113 1.1333333333333333 3.3072763729 0.3613922692 3.5796695239 1.165 3.1357987478 1.5523922692 96.9268911466 29.078067344 1.0
Li(SiSe2)3 -7.476134100387299 0.2258317945 0.9207161125 0.3943222506 1.5491933385 3.472068649 2.3333333333 0.3636368844 2.55 0.2 0.1353333333333335 0.9728183118741058 0.1972464304 8.0 2.4333333333 0.1 1.3691139241 2.1979999999999995 8.6888888889 33.666666666666664 24.33333333333333 31.7 2.333333333333333 22.3 3.1714640895000006 3.345338876111112 62.00183333333334 56.49575 1.0076087951017754 0.8566288423581768 0.9203634337461472 1.097328238203698 0.263254288910128 0.2760246928419113 1.1333333333333333 3.3780805422 0.1280519975 4.4889104846 1.165 3.2876375046 1.327418438 102.4362177073 30.7308653122 0.6666666666666666
Li(SiSe2)3 -6.439419039057689 0.2340361904 0.932642487 0.4147279793 1.8973665961 3.225234379 2.3333333333 0.417791106 2.485 0.4 0.1353333333333335 0.9728183118741058 0.2044123292 8.0 2.0 0.1 1.3375949367 2.1979999999999995 8.5777777778 33.666666666666664 24.33333333333333 31.7 2.333333333333333 22.3 3.1714640895000006 3.345338876111112 62.00183333333334 56.49575 1.0076087951017754 0.8566288423581768 0.9203634337461472 1.097328238203698 0.263254288910128 0.2760246928419113 1.1333333333333333 3.2027777579 0.1557478502 4.3509852198 1.165 3.1064175605 1.3467478502 98.8452035307 29.6535610592 0.5
Li(SiSe2)3 -6.044958999108564 0.2315423789 1.024691358 0.4342112483 1.268857754 3.0119092566 2.3333333333 0.4589244913 2.485 0.6000000000000001 0.1353333333333335 0.9728183118741058 0.2022341797 8.3 2.4666666667 0.1 1.307804878 2.1979999999999995 8.1 33.666666666666664 24.33333333333333 31.7 2.333333333333333 22.3 3.1714640895000006 3.345338876111112 62.00183333333334 56.49575 1.0076087951017754 0.8566288423581768 0.9203634337461472 1.097328238203698 0.263254288910128 0.2760246928419113 1.1333333333333333 3.2259567362 0.1627358585 4.1137760367 1.165 3.3120468715 1.3537358585 99.9098090864 29.9729427259 0.4
